ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"AttWat",0.6122449,0.04006085,0.86989424,3.1167557,0.79800869,1.01348867,0.86946083,0.573266,0.6122449
"BenthFeed",2.75510204,7.85723171,1.46396836,-12.26752426,1.66397335,0.81329338,1.44052682,2.49249143,2.75510204
"BenthMicroAl",1.07142857,0.53422175,0.89586124,18.15109561,1.00568758,0.77218185,0.9744135,0.91047309,1.07142857
"Bird",0.6122449,0.13318083,0.9234262,-9.48435626,0.87447014,1.0697936,0.91061874,0.68838423,0.6122449
"CalliaKra",0.76530612,0.35453074,0.93785473,3.80355391,0.91698993,0.94592276,0.94148717,0.75695502,0.76530612
"CarnMac",1.2244898,0.16442381,1.05302987,-16.97045678,1.30526441,1.14017476,1.07525038,1.53369122,1.2244898
"CatFish",1.07142857,0.33597505,1.03487419,-1.79221629,1.21824766,1.20653413,1.04438195,1.33601738,1.07142857
"Copyp",1.07142857,1.17644558,1.05302987,-2.61310367,0.98293941,0.90087882,1.04952668,0.86975,1.07142857
"Det",1.2244898,0.82437736,1.09132187,-11.04763981,1.20698367,1.04164114,1.09582933,1.31142582,1.2244898
"DuskyKob",1.2244898,0.45368053,1.07183398,-3.24430394,1.28977139,1.15425099,1.08553985,1.49749858,1.2244898
"Epiph",0.30612245,0.01359357,0.90943489,10.33794833,0.747171,1.68914779,0.85917135,0.50255194,0.30612245
"FishLarv",0.6122449,0.07623463,0.96810811,-13.35004906,0.82621111,1.12609852,0.93634243,0.61450157,0.6122449
"FreeWat",0.15306122,0,0.57714137,7.06748065,0.20636623,0.45043941,0.56386336,0.03833701,0.15306122
"Graz",0.45918367,0.09553921,0.95274131,-4.12078927,0.7920036,1.27624499,0.91061874,0.5646707,0.45918367
"Grunter",1.37755102,4.37522536,1.15428275,-0.202769,1.0566936,0.70068353,1.14727672,1.00516901,1.37755102
"Herb",1.83673469,1.31078686,1.09132187,21.52294778,1.4018238,0.79765312,1.17814515,1.76899986,1.83673469
"Leer",0.6122449,0.21800119,1.05302987,22.50735855,0.9429957,1.40762316,0.99293456,0.80049821,0.6122449
"MacrophSal",0.15306122,0,0.75028379,0.87975581,0.36287642,1.01348867,0.70688709,0.11853823,0.15306122
"MacrophSub",0.15306122,0,0.75028379,0.87975581,0.36287642,1.01348867,0.70688709,0.11853823,0.15306122
"MeioFau",1.07142857,0.45063528,1.05302987,-1.56328355,1.16902941,1.12609852,1.05467142,1.23024559,1.07142857
"MicroZoopl",0.6122449,1.70385396,0.78977241,5.98495585,0.60093702,0.64750665,0.81286871,0.32508644,0.6122449
"Mysid",1.37755102,2.14284572,1.13250383,4.69639158,1.13735328,0.8633422,1.1318425,1.16447913,1.37755102
"Phyto",0.91836735,0.61033034,0.90943489,-4.24833751,0.87172583,0.82580558,0.94148717,0.68407035,0.91836735
"Pisci",1.37755102,1.03783935,1.13250383,-0.89610814,1.3416286,1.12609852,1.1318425,1.62033778,1.37755102
"SedBaci",1.37755102,0.95047095,1.07183398,-11.08688542,1.24050235,0.92590323,1.10611881,1.3852754,1.37755102
"SkipJack",0.91836735,0.34704827,1.05302987,15.51509866,1.14180218,1.2950133,1.02894773,1.17360695,0.91836735
"Sol",0.45918367,0.09578529,0.83364865,7.94396599,0.65759203,0.93841544,0.83036082,0.38927277,0.45918367
"SuspFeed",1.53061224,0.84435363,1.09132187,0.52981576,1.37379714,0.9909667,1.13698724,1.69897173,1.53061224
"UpoAfri",1.37755102,2.03647231,1.17691574,-12.42123624,1.20428569,0.88836661,1.15242146,1.30556949,1.37755102
"ZooplEater",1.68367347,1.81685587,1.15428275,12.37217922,1.29999235,0.83945526,1.18328989,1.52132685,1.68367347
