ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"AciSin",0.72137405,0.2399484,0.94030082,-2.94155527,0.90812777,1.05289575,0.93501805,0.77852234,0.72137405
"Argentin",0.72137405,0.22430177,0.96606248,-6.8876572,0.93173665,1.11175327,0.94765343,0.81952748,0.72137405
"Bird",0.5610687,0.23706004,0.8395543,6.65688948,0.66604808,0.67265744,0.85288809,0.41878231,0.5610687
"Bran",0.80152672,0.13037257,0.96606248,6.64154408,0.96641485,1.06532123,0.96028881,0.88166654,0.80152672
"Cepha",1.60305344,2.67606925,1.13746067,-6.05579415,1.30660023,0.94172042,1.15613718,1.61161992,1.60305344
"ChampCap",0.88167939,0.31292283,0.99327551,-4.41719582,1.01444867,1.04338342,0.98555957,0.97148773,0.88167939
"Coilia",0.16030534,0,0.82967719,10.00508121,0.50217625,1.53029568,0.7833935,0.23806168,0.16030534
"Crab",1.60305344,1.87872393,1.13746067,-9.58094083,1.24362502,0.80340523,1.15613718,1.46001081,1.60305344
"DecaMar",0.96183206,0.49880606,1.00746516,0.82827426,1.03847931,1.03000671,1.00451264,1.01805881,0.96183206
"EngJap",1.44274809,1.86762543,1.08496248,-6.04690755,1.17036417,0.80438619,1.11191336,1.29306157,1.44274809
"HarNeh",0.72137405,0.14370181,0.95300759,-0.71472216,0.93781,1.11175327,0.94133574,0.83024618,0.72137405
"HetBaci",0.48091603,0.25838346,0.82002978,3.59880194,0.68675511,0.91229166,0.82761733,0.44522646,0.48091603
"LarCroOne",0.40076336,0.01588629,0.88153202,11.29649261,0.75052857,1.33018009,0.85288809,0.53175506,0.40076336
"LarPoly",1.1221374,0.3224107,1.03709649,-4.2194473,1.18754699,1.14351765,1.04241877,1.33130872,1.1221374
"Ljelly",0.88167939,0.47937879,0.96606248,-4.73779346,0.94500179,0.93101905,0.97292419,0.84302883,0.88167939
"LophLit",0.96183206,0.63502117,1.00746516,-21.49677466,1.01987105,0.99076836,1.00451264,0.98190099,0.96183206
"MacroBenth",1.92366412,2.80909517,1.21590623,2.91621653,1.38198879,0.84607694,1.23194946,1.80296049,1.92366412
"MarMamm",1.04198473,0.76431622,1.00746516,4.81850624,1.0112275,0.85117038,1.01714801,0.96532802,1.04198473
"MicroBenth",1.44274809,1.46239546,1.08496248,8.95677604,1.17181892,0.78803688,1.11191336,1.29627808,1.44274809
"NibAlb",0.40076336,0.00637542,0.88153202,12.18583832,0.76480143,1.36549461,0.85288809,0.55217221,0.40076336
"PenArg",0.96183206,0.22839176,1.00746516,-15.07363623,1.11949857,1.21148408,1.00451264,1.18310763,0.96183206
"Phyto",1.68320611,2.42251104,1.15610756,6.86753758,1.25483617,0.78476702,1.17509025,1.48645314,1.68320611
"Pleuron",0.48091603,0.08354814,0.87064891,6.05391912,0.76098064,1.12810259,0.85920578,0.54666893,0.48091603
"PriMac",1.04198473,0.33515993,1.02206611,-11.38317058,1.13686219,1.1318755,1.0234657,1.22009266,1.04198473
"Sard",0.48091603,0.03703862,0.87064891,6.11177701,0.7711274,1.15753135,0.85920578,0.56134446,0.48091603
"Saur",0.80152672,0.44832098,0.97948002,3.76774403,0.98090151,1.10652149,0.9666065,0.90829719,0.80152672
"ScomberJap",1.20229008,1.27583839,1.05257554,15.01503988,1.15111119,1.02804479,1.06137184,1.25086868,1.20229008
"ScoNiph",1.20229008,0.80524791,1.05257554,1.455307,1.13814493,0.93779659,1.06137184,1.22284752,1.20229008
"SDemFish",2.00381679,4.261959,1.23723792,-7.03143318,1.39284202,0.82400537,1.25090253,1.83139022,2.00381679
"SerLal",1.04198473,1.03962287,0.99327551,-2.29243238,0.9744957,0.79231285,1.01083032,0.8964726,1.04198473
"SetTat",0.80152672,0.43165516,0.94030082,6.24282247,0.95281625,1.01234945,0.94765343,0.85702893,0.80152672
"ShaRay",0.40076336,0.07779503,0.79238833,12.42716016,0.5913234,0.74160483,0.79602888,0.33008615,0.40076336
"Shri",1.76335878,3.30619156,1.17537602,10.90177098,1.30837114,0.82935605,1.19404332,1.61599153,1.76335878
"Spar",0.80152672,0.54717004,0.96606248,26.25298279,0.96427225,1.09474999,0.96028881,0.87776145,0.80152672
"SPelaFish",0.5610687,0.34486771,0.9041354,5.00701098,0.71641273,0.85763824,0.89079422,0.48451113,0.5610687
"Sphyr",0.16030534,0,0.76654958,-16.79449969,0.4856984,1.32429434,0.73916968,0.22269503,0.16030534
"Strom",0.64122137,0.24654491,0.91587742,2.2632267,0.84277488,1.05207828,0.90974729,0.67050239,0.64122137
"Tham",0.80152672,0.46542863,0.96606248,-5.53806778,0.92584476,1.00057795,0.96028881,0.8091956,0.80152672
"TraJap",1.04198473,0.61425588,1.00746516,-9.17547538,1.09898768,1.07754548,1.01714801,1.14015217,1.04198473
"TriLepOne",0.72137405,0.18938591,0.92792844,3.15642132,0.89643868,0.9874985,0.92870036,0.75860961,0.72137405
"TriLepTwo",2.16412214,3.67995683,1.28222839,0.14978031,1.45202151,0.83054509,1.28880866,1.99032165,2.16412214
"Zoopl",2.40458015,6.19631491,1.3562031,2.81058258,1.47886685,0.76318592,1.34566787,2.06459711,2.40458015
