ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"Acod",1.2254902,0.54695687,1.06479796,12.85476847,1.21885184,1.01578102,1.0706278,1.37314432,1.2254902
"AngFish",0.89869281,0.37374879,1.00497785,11.6073274,0.99672896,0.92514105,0.99775785,0.91826601,0.89869281
"Aplai",0.40849673,0.05867385,0.87689244,1.56641896,0.70955116,1.18070488,0.85762332,0.46535221,0.40849673
"Asole",0.32679739,0.01526187,0.85183837,-22.60515896,0.65951662,1.30720897,0.82959641,0.40203683,0.32679739
"Awhit",1.14379085,0.36047033,1.05227092,-17.10805794,1.19357848,1.0722728,1.05381166,1.31678937,1.14379085
"BaskSha",0.16339869,0.01120315,0.73313958,-11.64430305,0.36459586,0.75902457,0.71188341,0.12286773,0.16339869
"Bass",0.40849673,0.00736375,0.88557454,-5.60798983,0.78985385,1.4730699,0.8632287,0.57664407,0.40849673
"Bird",0.65359477,0.18500476,0.97220683,20.93001508,0.86827167,1.04014478,0.94730942,0.69682804,0.65359477
"Bivalv",1.79738562,2.73520291,1.14670549,9.96661545,1.22124999,0.64402084,1.18273543,1.37855309,1.79738562
"Bream",0.49019608,0.2144019,0.94150556,1.69419655,0.8070476,1.29315296,0.90807175,0.6020224,0.49019608
"Cepha",2.04248366,5.42603519,1.22524697,0.66434331,1.40949784,0.78488763,1.24439462,1.83629808,2.04248366
"Dab",0.73529412,0.12204052,0.96175299,20.19343108,0.97828025,1.19319911,0.9529148,0.88458775,0.73529412
"DepoFeed",2.45098039,5.07885163,1.27775755,-9.1248219,1.4978988,0.71966774,1.31726457,2.07385935,2.45098039
"DogFish",1.63398693,2.01100496,1.11803786,7.51403925,1.31468613,0.91082948,1.14910314,1.59756491,1.63398693
"Echino",1.2254902,0.78695938,1.04003522,2.87551243,1.10241497,0.82461928,1.05941704,1.12332274,1.2254902
"Gurna",0.81699346,0.30260834,0.99381143,-2.7563888,1.01449173,1.14697045,0.9809417,0.95128658,0.81699346
"Hake",0.57189542,0.10867143,0.85183837,-0.52559236,0.80073881,0.9397447,0.8632287,0.59264702,0.57189542
