ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"Arius",1.05263158,0.51898836,1.01851013,-3.04511278,1.0664072,1.03843582,1.02484472,1.10276634,1.05263158
"Baird",1.44736842,2.1460084,1.19824722,-0.56390977,1.18273657,0.91478085,1.16459627,1.35648005,1.44736842
"Benthprod",1.05263158,1.10022086,1.01851013,-2.81954887,1.03459878,0.9799324,1.02484472,1.03796159,1.05263158
"Callin",0.65789474,0.28711485,0.88566099,-0.45112782,0.83205932,1.02966031,0.88509317,0.67134528,0.65789474
"EuciSto",1.31578947,1.2500808,1.13167793,-4.17293233,1.1629341,0.98285757,1.11801242,1.31143743,1.31578947
"Lagod",1.31578947,1.42094915,1.13167793,-1.80451128,1.15092045,0.9594562,1.11801242,1.28448186,1.31578947
"Lutja",0.78947368,0.19769446,0.9259183,3.4962406,0.94293472,1.09206396,0.93167702,0.8621853,0.78947368
"MeioBeth",1.44736842,1.90064103,1.19824722,2.36842105,1.20521561,0.9573288,1.16459627,1.40853245,1.44736842
"Mollu",1.18421053,2.42776341,1.07211593,10.93984962,1.0815155,0.94905559,1.07142857,1.13423451,1.18421053
"Mugil",0.78947368,0.27591036,0.88566099,-15.11278195,0.93797592,1.07256282,0.91614907,0.85314085,0.78947368
"Ortho",1.05263158,0.70736371,1.01851013,-1.01503759,1.04059558,0.96530654,1.02484472,1.05002905,1.05263158
"Penae",0.52631579,0.13235294,0.81480811,-3.15789474,0.74235237,1.02380997,0.82298137,0.53438907,0.52631579
"Phyto",0.26315789,0.03676471,0.70242078,24.13533835,0.5312317,1.05306168,0.69875776,0.27365622,0.26315789
"PolyChae",0.92105263,0.40056022,0.9259183,-8.68421053,0.99619398,1.01963115,0.96273292,0.96233257,0.92105263
"Zoopl",1.18421053,2.19758673,1.07211593,14.88721805,1.09232821,0.96205635,1.07142857,1.15702744,1.18421053
