ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"Hetbent",1.22727273,1.71818182,1.11623544,2.62325581,1.10076042,0.97024864,1.09090909,1.20069092,1.22727273
"Intpred",0.95454545,0.73636364,0.96740405,2.34418605,0.97996162,1.00541757,0.98181818,0.9516204,0.95454545
"Lcrus",1.09090909,0.94545455,1.03650434,1.84186047,1.05985169,1.01007228,1.03636364,1.11310416,1.09090909
"Lpred",0.81818182,0.99090909,0.9069413,1.5627907,0.87242927,0.91232335,0.92727273,0.75423393,0.81818182
"Lzoob",0.68181818,0.36363636,0.85359181,1.78604651,0.85197903,1.06872164,0.87272727,0.71928901,0.68181818
"Pela",0.81818182,0.81818182,0.9069413,-2.67906977,0.90707289,0.99921129,0.92727273,0.81532355,0.81818182
"Phyto",0.81818182,0.33636364,0.9069413,-3.01395349,0.93882351,1.06437724,0.92727273,0.87340069,0.81818182
"Scrus",1.36363636,2.22727273,1.20925506,1.50697674,1.14798948,0.93838973,1.14545455,1.3059346,1.36363636
"Sdemzoob",1.22727273,1.34545455,1.11623544,2.90232558,1.10436501,0.98472996,1.09090909,1.20856743,1.22727273
"Sdemzoop",0.81818182,0.56363636,0.9069413,2.00930233,0.92353876,1.04265525,0.92727273,0.84519296,0.81818182
"Smollworm",1.09090909,1.03636364,1.03650434,1.6744186,1.05395137,0.99378079,1.03636364,1.10074509,1.09090909
"Zoopl",1.09090909,0.91818182,1.03650434,-0.55813953,1.05927696,1.01007228,1.03636364,1.11189727,1.09090909
