ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"Ahake",1.20670391,0.697731,1.07718167,-12.68701653,1.20483976,1.07677551,1.07600342,1.33122869,1.20670391
"Anch",1.00558659,0.88870348,0.99302685,8.10729185,0.97212359,0.86939652,1.00683177,0.86663666,1.00558659
"AngFish",0.90502793,0.238241,0.96293513,30.80219175,1.04687852,1.05461964,0.97608881,1.00504769,0.90502793
"AtlBoni",0.5027933,0.20707913,0.92106838,27.98673035,0.64986449,0.87737264,0.89154569,0.38729305,0.5027933
"AudGull",0.10055866,0,0.64850733,-79.90113694,0.26069783,0.79761149,0.62254483,0.06232595,0.10055866
"BenthCepha",1.20670391,0.70418167,1.05922864,-55.5445255,1.18644411,1.03689494,1.06831768,1.29088828,1.20670391
"BenthInv",1.60893855,4.31614866,1.15552216,26.82133614,1.2799902,0.902298,1.16823228,1.50247543,1.60893855
"BenthPelaCepha",1.50837989,2.47366221,1.13488783,-4.97941759,1.23241847,0.93054674,1.14517506,1.39286968,1.50837989
"BenthPelaFish",1.60893855,1.59923385,1.13488783,-4.11184795,1.3235344,0.95214872,1.16054654,1.60644018,1.60893855
"BlueWhit",1.10614525,0.77448221,1.02505998,-9.85692741,1.08827078,0.94988277,1.03757472,1.08609553,1.10614525
"CongEel",0.60335196,0.10444942,0.92106838,-11.94399936,0.8615466,1.11665609,0.90691716,0.68069355,0.60335196
"Crab",1.81005587,1.5055171,1.19912677,-22.70479628,1.44971265,1.01473906,1.21434671,1.92733827,1.81005587
"DemFishOne",2.01117318,4.00510818,1.27107437,-1.4491299,1.45676097,0.94118156,1.26814688,1.94612477,2.01117318
"DemFishThree",1.60893855,1.6916788,1.17692071,-18.62094208,1.34258686,0.99202929,1.17591802,1.65302292,1.60893855
"DemFishTwo",0.30167598,0.02748274,0.78461381,24.43947557,0.59177888,0.98372084,0.77241674,0.32115376,0.30167598
"DemSha",0.80446927,0.23937125,0.96293513,-9.68489071,0.97618142,1.10668594,0.9645602,0.87388677,0.80446927
"Dolph",0.60335196,0.13020792,0.92106838,-12.33689753,0.78715937,0.98372084,0.90691716,0.56822382,0.60335196
"FinWhale",0.30167598,0.03066914,0.82537297,49.88734378,0.54811146,1.01030789,0.79931682,0.27550651,0.30167598
"FlatFish",0.80446927,0.15216893,0.97774952,31.93344147,1.02730407,1.18644709,0.96840307,0.96781445,0.80446927
"HorMack",1.40782123,0.80339211,1.11497752,8.83058197,1.30247166,1.11095886,1.12211785,1.5557172,1.40782123
"Jelly",0.30167598,0.04455897,0.80447745,-10.80646748,0.5474529,1.01030789,0.78394535,0.27484486,0.30167598
"Jhake",1.10614525,0.68745836,1.02505998,57.90468764,1.18411083,1.13115811,1.03757472,1.28581591,1.10614525
"LogTurtle",0.10055866,0,0.71408673,14.09055474,0.36355562,1.27617838,0.68018787,0.12120926,0.10055866
"Mack",0.80446927,0.58630559,1.00878918,2.04360935,0.92272759,1.01695465,0.98377455,0.78080234,0.80446927
"MacroZoopl",1.30726257,1.95258889,1.05922864,0.8182323,1.15417346,0.92645642,1.08368915,1.22162035,1.30726257
"MicroMesoZoopl",1.30726257,2.06507942,1.11497752,13.24175274,1.10639573,0.88964359,1.10674637,1.12257423,1.30726257
"Mull",0.70391061,0.08971298,0.93461351,-5.35558522,0.96928517,1.19641724,0.92997438,0.86158321,0.70391061
"NorLobs",0.60335196,0.071641,0.90791026,-21.04901206,0.8853294,1.18312371,0.9030743,0.71879304,0.60335196
"OSPelaFish",1.00558659,1.26591825,0.99302685,66.77931047,0.93435835,0.83749206,1.00683177,0.80061003,1.00558659
"Phyto",0.5027933,0.25343045,0.87059888,-9.86830891,0.60728062,0.78165926,0.86080273,0.33819947,0.5027933
"Polych",1.60893855,1.2326963,1.13488783,5.85467565,1.35275023,1.00199943,1.16054654,1.67814437,1.60893855
"PoorCod",1.00558659,0.60141698,1.00878918,-47.55576681,1.14040068,1.16451278,1.01451751,1.19263904,1.00558659
"Sard",1.00558659,3.0020655,0.99302685,-67.17035554,0.91785315,0.80558761,1.00683177,0.77257472,1.00558659
"Shri",1.70949721,2.66145063,1.15552216,30.95765562,1.31265975,0.86798897,1.18360376,1.58015041,1.70949721
"SupBenth",1.30726257,0.71827089,1.05922864,11.33386707,1.23003209,1.00621757,1.08368915,1.38748078,1.30726257
"SwordFishTuna",0.60335196,0.17789697,0.94856296,29.79428538,0.78295833,1.01030789,0.92228864,0.56217482,0.60335196
