ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"BenthMicroFlo",0.43031785,0.28947784,0.83491001,2.20379026,0.54263962,0.76412202,0.81903353,0.27906314,0.43031785
"Bird",0.8606357,0.18018095,0.90260542,12.57844777,1.00867798,1.08109115,0.93836292,0.96423873,0.8606357
"BlueTuna",0.59168704,0.12730798,0.83491001,29.06724571,0.79854947,0.98795574,0.85157791,0.6043425,0.59168704
"Brill",0.48410758,0.09648432,0.86743897,-14.69310657,0.73399633,1.09178257,0.84615385,0.51058408,0.48410758
"Cepha",1.34474328,1.49393447,1.09496395,14.87821234,1.1947203,0.97988744,1.10650888,1.35273268,1.34474328
"Cet",0.91442543,0.31926959,0.96801161,6.57935551,1.02818262,1.0814241,0.97633136,1.00188993,0.91442543
"Cod",1.45232274,1.27305851,1.13208137,-5.24365165,1.25552982,1.00625122,1.13905325,1.49394137,1.45232274
"Echino",0.96821516,1.46442222,0.98224707,17.00665431,0.92414627,0.83015726,0.99260355,0.80939575,0.96821516
"EdiCrabLobs",0.48410758,0.15085026,0.85631796,17.88068772,0.66874243,0.94587615,0.84072978,0.42383542,0.48410758
"Eupha",1.23716381,2.62711481,1.06020319,-9.61742453,1.07443423,0.87215731,1.0739645,1.09405502,1.23716381
"Gurna",1.07579462,0.50435404,1.01201214,11.70590645,1.10732456,1.06637473,1.02514793,1.16206216,1.07579462
"Hadd",1.18337408,0.74791516,1.04363751,-4.72841469,1.1534676,1.04970298,1.05769231,1.26092801,1.18337408
"HalTur",0.80684597,0.30995083,0.94074368,6.99822428,0.95915361,1.08977007,0.94378698,0.8718782,0.80684597
"Herr",1.45232274,2.15576697,1.13208137,20.81800581,1.20254277,0.90227193,1.13905325,1.37050479,1.45232274
"HorMack",1.02200489,0.39618926,0.99690748,-6.81100507,1.07643189,1.06530228,1.00887574,1.09812709,1.02200489
"Jcod",1.50611247,1.4160832,1.15160002,-14.80098101,1.26445858,0.97031367,1.15532544,1.51526541,1.50611247
"Jhadd",1.23716381,0.65559367,1.06020319,-24.79678009,1.18323375,1.04343876,1.0739645,1.32684621,1.23716381
"JraySkate",0.53789731,0.06667425,0.87885264,-6.32709807,0.82306837,1.22259523,0.86242604,0.64202407,0.53789731
"Jsaithe",0.96821516,0.32861656,0.98224707,21.55128176,1.06922789,1.1119076,0.99260355,1.08347787,0.96821516
"Jsha",0.96821516,0.30202907,0.98224707,1.99226898,1.06760753,1.11442322,0.99260355,1.08019645,0.96821516
"Jwhit",1.66748166,1.92355228,1.21441456,-8.14323806,1.32842267,0.97719977,1.20414201,1.67244578,1.66748166
"MeioFau",0.43031785,0.15846441,0.83491001,-0.70376821,0.57940933,0.85468463,0.81903353,0.31816358,0.43031785
"NorPout",1.45232274,1.5939319,1.13208137,-9.52514308,1.23150199,0.94755323,1.13905325,1.43730763,1.45232274
"NseaMack",1.02200489,0.52054939,0.99690748,-1.26205694,1.06681335,1.03908678,1.00887574,1.07858997,1.02200489
"Ocrus",2.09779951,9.76591099,1.42112342,-8.61164482,1.3738859,0.8231909,1.33431953,1.78887841,2.09779951
"OMacroBenth",1.34474328,3.57982728,1.09496395,3.31558119,1.0721316,0.78246095,1.10650888,1.08937068,1.34474328
"OpredFish",1.61369193,1.85917889,1.19272859,8.31144287,1.29091428,0.94486989,1.18786982,1.57933515,1.61369193
"OpreyFish",1.39853301,1.38999792,1.11321335,12.33989912,1.20824117,0.95961534,1.12278107,1.38352418,1.39853301
"Phyto",0.32273839,0.07661421,0.83491001,-4.35391917,0.52309965,0.9056261,0.79733728,0.25932737,0.32273839
"Plai",0.80684597,0.37580925,0.94074368,-0.92230674,0.92793181,1.00222621,0.94378698,0.81604031,0.80684597
"PlankMicroFlo",0.37652812,0.16117216,0.82460248,-13.45701559,0.52474533,0.80859473,0.80276134,0.26096163,0.37652812
"Polych",1.18337408,1.30643783,1.04363751,-10.16903612,1.09929502,0.95296564,1.05769231,1.14527033,1.18337408
"RaySkate",0.59168704,0.08502997,0.89057068,7.8502271,0.85678496,1.19789634,0.87869822,0.69570185,0.59168704
"Saithe",0.96821516,0.51706425,0.98224707,-31.51929147,1.04359465,1.0490169,0.99260355,1.03215087,0.96821516
"SalTrout",0.59168704,0.10092968,0.89057068,2.25497514,0.80335819,1.04558649,0.87869822,0.61164291,0.59168704
"Sande",1.50611247,1.66614876,1.15160002,-9.21936005,1.24705241,0.93150113,1.15532544,1.47383513,1.50611247
"Seal",1.02200489,0.59819809,0.99690748,-22.82698941,1.07666642,1.07245196,1.00887574,1.09860566,1.02200489
"Sha",1.18337408,0.38062323,1.04363751,-3.51502649,1.18272362,1.10939197,1.05769231,1.32570238,1.18337408
"Sole",0.53789731,0.10268679,0.87885264,19.97669822,0.78844288,1.14561701,0.86242604,0.58914197,0.53789731
"Sprat",1.12958435,0.77320272,1.02758155,31.82911408,1.08388643,0.94875115,1.04142012,1.11338931,1.12958435
"Stur",0.16136919,0.00809811,0.78579766,12.45523004,0.42386177,1.237689,0.73767258,0.17026602,0.16136919
"Whit",1.12958435,0.8802652,1.02758155,14.17732518,1.10756198,1.00050121,1.04142012,1.16256052,1.12958435
"Wmack",1.07579462,0.58543778,1.01201214,-24.08904635,1.09161066,1.03014968,1.02514793,1.12931481,1.07579462
"Zoopl",0.8606357,0.68559496,0.95418287,3.56573033,0.93192831,0.95656756,0.96005917,0.82308465,0.8606357
