ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"CatFish",1.06930693,0.96208016,1.03750244,-2.48304691,1.06200857,1.02071812,1.03571429,1.08560209,1.06930693
"Croak",0.89108911,0.53757277,0.9510439,15.06549001,0.98772624,1.06971259,0.96428571,0.93904805,0.89108911
"EpiFau",1.42574257,1.84754814,1.26805854,3.2438458,1.18937219,0.94416426,1.17857143,1.36160203,1.42574257
"FlatFish",0.71287129,0.05924765,0.84537236,-8.72828611,0.89710564,1.10237557,0.88095238,0.77464337,0.71287129
"Group",1.24752475,1.13756158,1.08690732,-0.49326521,1.12713796,0.96239137,1.0952381,1.2228376,1.24752475
"Gru",0.62376238,0.32550381,0.84537236,11.52066883,0.82901121,1.09654289,0.85714286,0.66150851,0.62376238
"Herr",1.06930693,0.56711823,1.03750244,8.11797492,1.07079794,1.03432769,1.03571429,1.10364572,1.06930693
"InFau",0.98019802,0.80012315,0.9510439,-4.03808639,0.99100779,0.95019578,0.98809524,0.94529806,0.98019802
"Jack",0.98019802,0.47648903,0.99239364,-6.62981886,1.02864542,1.04670003,1,1.0184648,0.98019802
"Mack",0.98019802,0.43855799,0.99239364,-8.82025081,1.02355301,1.03185323,1,1.00840574,0.98019802
"Major",0.98019802,0.60740036,0.99239364,-8.50255458,1.02685911,1.04670003,1,1.01493061,0.98019802
"Ofish",1.06930693,0.65715405,0.99239364,4.37250348,1.04798088,0.97988939,1.02380952,1.05711283,1.06930693
"Phyto",0.08910891,0,0.58525779,3.29400836,0.27439803,0.89823194,0.57142857,0.07247306,0.08910891
"Sha",1.15841584,0.66317734,1.03750244,-6.25359963,1.10374018,0.99873342,1.05952381,1.17259579,1.15841584
"Shri",1.42574257,1.84754814,1.26805854,3.2438458,1.18937219,0.94416426,1.17857143,1.36160203,1.42574257
"Snap",1.24752475,1.05198164,1.08690732,1.897817,1.12492682,0.96239137,1.0952381,1.21804455,1.24752475
"Squid",1.06930693,0.46293103,1.03750244,1.68044589,1.06924261,1.02752291,1.03571429,1.10044197,1.06930693
"Zoopl",0.98019802,5.55800493,0.99239364,11.51230841,0.95711417,0.88338514,1,0.8817432,0.98019802
