ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"Apoll",1.38139535,1.24429975,1.12298898,-1.41248116,1.21034512,1.0000545,1.12295826,1.40643581,1.38139535
"ArrTooFlo",0.61395349,0.42860757,0.90627181,13.26974073,0.8249877,1.09987337,0.89088022,0.653426,0.61395349
"BalWhale",0.76744186,0.11895161,0.95662025,-3.33683531,0.97516324,1.22245468,0.94328494,0.91296917,0.76744186
"BenthAmph",1.0744186,0.70158106,0.99341333,3.21930556,1.06099949,1.00751759,1.01814882,1.08076636,1.0744186
"Bird",0.69069767,0.48195654,0.93922715,11.55696264,0.83434201,1.00751759,0.92082577,0.66832805,0.69069767
"Cepha",1.68837209,3.53009666,1.22994032,8.38560443,1.28358114,0.90981892,1.21279492,1.58178745,1.68837209
"Copep",0.99767442,1.51600053,1.01289203,8.54943116,0.99116169,0.96101678,1.01066243,0.94317109,0.99767442
"EpiFau",1.0744186,0.8258416,0.97466968,-0.07005041,1.01010977,0.88277732,1.01066243,0.97957708,1.0744186
"ForFish",1.53488372,1.76792934,1.17403394,-6.18752998,1.25196224,0.95042493,1.16787659,1.50481784,1.53488372
"GreenTur",0.69069767,0.36368767,0.90627181,-5.07533965,0.87513164,1.06722234,0.90585299,0.73527237,0.69069767
"InFAu",0.99767442,0.93252383,0.99341333,5.74701315,0.97930994,0.90934921,1.00317604,0.92075014,0.99767442
"Jelly",0.46046512,0.17823131,0.79473067,-3.78814053,0.61127181,0.80601407,0.80104356,0.35873207,0.46046512
"Jpoll",1.38139535,2.09111643,1.12298898,6.09302473,1.17695422,0.93661821,1.12295826,1.32990497,1.38139535
"KingCrab",0.69069767,0.16416244,0.89064644,1.84337129,0.87375927,1.07468543,0.89836661,0.73296809,0.69069767
"Lzoopl",1.45813953,3.65610902,1.1479443,2.10483972,1.17835115,0.90146311,1.14541742,1.33306378,1.45813953
"MacroUri",0.84418605,0.95170924,0.97466968,-0.54628635,0.92383855,1.00141142,0.9657441,0.81939561,0.84418605
"PacCod",1.76511628,2.57158361,1.25993886,-6.00307898,1.3492198,0.9724735,1.23525408,1.74769997,1.76511628
"PacHerr",0.99767442,0.74151191,0.99341333,-7.48722048,1.03473289,1.03335138,1.00317604,1.02791683,0.99767442
"PacSal",0.84418605,0.56015448,0.97466968,11.87737672,0.94550984,1.0441546,0.9657441,0.85828905,0.84418605
"Phal",0.99767442,0.38851898,0.99341333,-4.23783909,1.08887834,1.13151976,1.00317604,1.13830904,0.99767442
"Phyto",0.23023256,0,0.70763689,-6.87130594,0.43134796,0.85079263,0.69623412,0.17863105,0.23023256
"SculRockFish",1.38139535,1.43564196,1.12298898,-1.63907848,1.21757093,1.02990687,1.12295826,1.4232789,1.38139535
"Seal",0.76744186,0.38781595,0.95662025,-11.48365655,0.93455641,1.11498614,0.94328494,0.83851824,0.76744186
"SFlatFish",1.30465116,1.2008699,1.0990956,3.66594632,1.1987723,1.06283228,1.10049909,1.37966888,1.30465116
"Shri",1.53488372,2.97937804,1.17403394,7.68662628,1.1954654,0.85638995,1.16787659,1.37206754,1.53488372
"Skate",0.76744186,0.33224929,0.93922715,1.14596293,0.93680482,1.1284197,0.93579855,0.8425578,0.76744186
"SnowCrab",0.76744186,0.15489927,0.90627181,0.56416129,0.91335441,1.03438473,0.92082577,0.80090339,0.76744186
"SpeWhale",0.30697674,0.04567836,0.77100736,2.29628287,0.5173125,0.83959799,0.75612523,0.25692562,0.30697674
"StLion",1.0744186,0.7338733,1.01289203,3.18189491,1.08882019,1.03630381,1.02563521,1.13818748,1.0744186
"TanCrab",0.76744186,0.22022048,0.90627181,0.08010988,0.90397164,1.01423438,0.92082577,0.78453276,0.76744186
"ToothWhale",1.22790698,1.14385091,1.05423456,-1.32861474,1.12738503,0.9613397,1.07055354,1.22024208,1.22790698
"WalrBSeal",0.92093023,0.67117739,0.97466968,4.78679031,0.98387892,1.02990687,0.98071688,0.92936172,0.92093023
"Zoar",0.99767442,0.47977156,1.01289203,-3.58698728,1.07114964,1.12118624,1.01066243,1.10154377,0.99767442
