ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"Baci",0.46296296,0.03442341,0.78492006,-0.51088658,0.72548156,1.13847108,0.79507279,0.50991486,0.46296296
"Benth",1.48148148,3.04656722,1.21305827,3.21189697,1.18092295,0.85978285,1.17581187,1.3511017,1.48148148
"Bird",0.37037037,0.04600219,0.78492006,10.6788103,0.65981119,1.2056725,0.77267637,0.42177833,0.37037037
"Car",0.83333333,0.48404006,0.9202511,1.66927565,0.93526082,1.03657089,0.9406495,0.84744281,0.83333333
"CatFish",0.92592593,0.09466437,0.95311721,-4.03728476,1.03482982,1.08312873,0.97424412,1.03748728,0.92592593
"Demers",1.38888889,1.7941289,1.16031661,-4.69047958,1.18021474,0.9223724,1.14221725,1.34948165,1.38888889
"Doplh",0.55555556,0.08433735,0.80870552,-3.63455244,0.76454973,0.98825614,0.82866741,0.56631282,0.55555556
"EpBenth",1.57407407,3.60537388,1.27082295,2.68962573,1.20786437,0.8417617,1.20940649,1.41345262,1.57407407
"FlatFish",1.11111111,0.29021715,1.02643392,1.21531237,1.11424283,1.05413989,1.04143337,1.202831,1.11111111
"LizFish",1.11111111,0.29021715,1.02643392,1.21531237,1.11424283,1.05413989,1.04143337,1.202831,1.11111111
"MorEel",1.2037037,0.82664859,1.06749128,-0.51515583,1.13226765,0.99737851,1.075028,1.24206154,1.2037037
"Phyto",0.46296296,0.07009858,0.80870552,0.95773445,0.69783234,1.07522269,0.806271,0.47178822,0.46296296
"PortCrab",1.48148148,2.49044664,1.21305827,6.69844884,1.20085205,0.89437181,1.17581187,1.39708851,1.48148148
"PuffFish",0.64814815,0,0.86088007,-0.87092643,0.88747238,1.16331866,0.87346025,0.76305284,0.64814815
"RaySha",1.2037037,0.82664859,1.06749128,-0.51515583,1.13226765,0.99737851,1.075028,1.24206154,1.2037037
"SerSco",0.74074074,0.11025922,0.88957607,-1.04454248,0.917728,1.0771992,0.90705487,0.81596753,0.74074074
"Shrimp",1.38888889,2.04828839,1.16031661,-2.21431621,1.16854005,0.9065603,1.14221725,1.32291554,1.38888889
"SnapGru",1.2037037,0.8165128,1.06749128,2.33812438,1.12562906,0.99129693,1.075028,1.22753958,1.2037037
"Spale",1.11111111,2.53126793,1.02643392,8.16706987,0.98305216,0.78401654,1.04143337,0.93626337,1.11111111
"Zoopl",0.74074074,0.50985761,0.88957607,-0.8083108,0.83693781,0.92896078,0.90705487,0.67862725,0.74074074
