ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"BlueWhale",0.15217391,0,0.75407721,-2.09294513,0.45102627,1.37939381,0.7272175,0.19058795,0.15217391
"BryWhale",0.15217391,0,0.75407721,-2.09294513,0.45102627,1.37939381,0.7272175,0.19058795,0.15217391
"CatFish",0.76086957,0.16795699,0.96952784,3.40985442,1.01803747,1.24145443,0.95686513,0.97100011,0.76086957
"Crab",0.76086957,0.13333333,0.96952784,-8.18365062,1.02085279,1.2217488,0.95686513,0.97637802,0.76086957
"Group",0.60869565,0.07602151,0.89298617,-1.41097424,0.86311398,1.10844145,0.89307412,0.69795602,0.60869565
"Haem",0.76086957,0.0655914,0.96952784,-0.97592385,1.00139201,1.16263192,0.95686513,0.93950696,0.76086957
"Infau",2.43478261,4.69913978,1.41389477,6.49048152,1.48205298,0.6835389,1.37788578,2.05787605,2.43478261
"Lion",1.36956522,1.2216129,1.02828711,3.40985442,1.13384315,0.73348718,1.08444714,1.2044748,1.36956522
"Mojar",0.76086957,0.0655914,0.96952784,-0.97592385,1.00139201,1.16263192,0.95686513,0.93950696,0.76086957
"Ofish",2.2826087,3.74322581,1.35733898,-2.82194849,1.45803438,0.70940253,1.33961118,1.9917154,2.2826087
"ParFish",0.60869565,0.0955914,0.87008909,11.3818589,0.84452364,0.98528129,0.88031592,0.6682137,0.60869565
"Phyto",0.60869565,0.12870968,0.94259651,5.26763718,0.7891051,0.96064926,0.91859052,0.58339333,0.60869565
"Polych",1.36956522,0.80311828,0.99804337,-1.57558791,1.1833427,0.76632989,1.07168894,1.31193654,1.36956522
"PrimBenthProd",0.91304348,0.41397849,0.99804337,14.39193729,1.05749765,1.05096671,0.99513973,1.04773289,0.91304348
"RedCrab",0.60869565,0.07903226,0.91712093,-1.97536394,0.81924071,0.98528129,0.90583232,0.62880329,0.60869565
"Robin",1.06521739,0.62623656,1.02828711,-2.3281075,1.08935931,0.99935674,1.03341434,1.1118189,1.06521739
"Sard",0.76086957,0.40645161,0.94259651,2.84546473,0.8122983,0.74881378,0.94410693,0.61819124,0.76086957
"Shri",1.2173913,0.4388172,0.99804337,-8.18365062,1.15494368,0.84980511,1.04617254,1.24972185,1.2173913
"Snap",0.60869565,0.02709677,0.89298617,-12.44008959,0.90834075,1.18233755,0.89307412,0.77301754,0.60869565
"TrigFish",1.06521739,0.32376344,1.02828711,9.6181411,1.15232798,1.08380942,1.03341434,1.24406756,1.06521739
"Zoopl",2.13043478,7.48473118,1.30513364,9.2418813,1.30824884,0.60524422,1.30133657,1.60351295,2.13043478
