ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"BalWhale",0.35294118,0.0154922,0.85566161,-63.40483655,0.66256317,1.20176479,0.81818182,0.41439169,0.35294118
"Bird",0.49411765,0.04202327,0.88282547,13.8417884,0.78747467,1.20176479,0.85909091,0.58536888,0.49411765
"Cepha",1.97647059,4.48376875,1.3242382,-58.25570329,1.36940377,0.82913967,1.28863636,1.7701884,1.97647059
"Crab",1.27058824,0.98762534,1.04939631,-6.4598173,1.17223512,0.95898402,1.07727273,1.29713717,1.27058824
"DetFeed",0.28235294,0.03564103,0.80605804,34.97822113,0.57560107,1.10616986,0.77727273,0.31275167,0.28235294
"LbathyPela",0.49411765,0.11146853,0.86903132,21.18232915,0.7448035,1.04569144,0.85227273,0.5236485,0.49411765
"LDeepWatCom",0.56470588,0.10198997,0.88282547,36.51733903,0.79028024,1.01057493,0.87272727,0.58954735,0.56470588
"Ldem",1.05882353,0.48017852,1.01123645,20.54954705,1.09375127,1.0160375,1.02272727,1.12925909,1.05882353
"LdemCom",1.12941176,0.56091446,1.02996305,0.53647004,1.13018293,1.02423135,1.04318182,1.20574074,1.12941176
"LDemShaRay",1.05882353,0.25626783,0.99317865,-28.1832922,1.11975838,1.05973804,1.01590909,1.18360038,1.05882353
"Lobs",0.49411765,0.02825038,0.88282547,-23.70879216,0.79506073,1.22517579,0.85909091,0.5967014,0.49411765
"Lpela",0.63529412,0.25263181,0.88282547,26.26454963,0.8038888,0.91649739,0.88636364,0.61002608,0.63529412
"Lzoopl",1.62352941,5.25935951,1.1833618,-6.30886271,1.2326999,0.81938508,1.18636364,1.43440296,1.62352941
"MbathyPela",0.77647059,0.15322377,0.94267804,-13.16968423,0.95828771,1.06271762,0.94090909,0.86685864,0.77647059
"Mdem",1.62352941,2.57833627,1.1833618,-29.50755014,1.25733821,0.85501052,1.18636364,1.49231561,1.62352941
"MdemCom",1.69411765,3.25048609,1.20908705,2.08426614,1.26628893,0.81710901,1.20681818,1.51363816,1.69411765
"MesoPelaPrey",1.05882353,0.90410041,1.01123645,-1.87256121,1.05199266,0.95777012,1.02272727,1.0446766,1.05882353
"Mpela",0.49411765,0.11300963,0.85566161,6.96629751,0.72840981,0.96765476,0.84545455,0.5008504,0.49411765
"MpelaCom",1.27058824,1.41272658,1.06957701,-11.36534388,1.11518932,0.86490648,1.08409091,1.17396097,1.27058824
"Obenth",1.69411765,3.73541986,1.1833618,22.23064754,1.2471731,0.78979618,1.2,1.46828352,1.69411765
"PelaSha",0.70588235,0.18528241,0.91177057,9.40191995,0.89484769,1.0324252,0.91363636,0.7558832,0.70588235
"PredEchino",0.35294118,0.00512821,0.84269704,6.42199228,0.65990543,1.14713911,0.81136364,0.41107386,0.35294118
"ProdPrim",0.84705882,0.56642243,0.95893111,54.62641666,0.96175252,0.99691852,0.96136364,0.87313846,0.84705882
"Sard",1.41176471,1.37522844,1.11236009,37.93926582,1.2050288,0.90678616,1.125,1.37072806,1.41176471
"SbathyPela",1.12941176,0.74669075,1.02996305,31.41566863,1.089153,0.93546464,1.04318182,1.11978393,1.12941176
"SDeepWatBott",1.05882353,0.50604368,1.01123645,28.02367418,1.08703579,1.01239579,1.02272727,1.11543466,1.05882353
"Sdem",1.41176471,1.72509498,1.11236009,0.48676012,1.18854755,0.87947332,1.125,1.33348942,1.41176471
"SDemShaRay",1.34117647,0.61458514,1.09054911,-22.22755008,1.23469539,1.01776252,1.10454545,1.43905073,1.34117647
"Shri",1.41176471,1.05229188,1.09054911,-9.61346838,1.2284393,0.93956156,1.11818182,1.42450459,1.41176471
"Szoopl",1.2,1.15039155,1.04939631,-7.09716881,1.09953706,0.9061435,1.06363636,1.14123793,1.2
"ToothWhaleDolph",0.70588235,0.12210054,0.92696674,8.94109994,0.89549166,1.03788777,0.92045455,0.75697152,0.70588235
"Tuna",1.55294118,1.47299475,1.15870843,-5.48434971,1.280953,0.95098329,1.16590909,1.54889809,1.55294118
"Turtle",0.07058824,0,0.68664203,11.22911329,0.29921223,1.25639046,0.65454545,0.08451137,0.07058824
"VIgDem",0.35294118,0.01055807,0.83011947,-45.42360363,0.68773104,1.300091,0.80454545,0.44647146,0.35294118
"VIgDemCom",1.2,0.67433001,1.04939631,-4.39366642,1.15935203,1.01539485,1.06363636,1.26878228,1.2
"Worm",1.2,1.02994294,1.02996305,-1.16111578,1.12593421,0.93506298,1.05681818,1.19669225,1.2
