ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"Bird",0.5387931,0.02115059,0.83402643,-0.74270589,0.78031682,1.07420044,0.84008097,0.58721834,0.5387931
"Caran",1.18534483,1.09594025,1.05943898,-3.14629735,1.14129257,1.02537315,1.06275304,1.25617936,1.18534483
"Clup",1.07758621,0.74020086,1.00510877,1.45424828,1.03985001,0.93097371,1.02226721,1.04279532,1.07758621
"Crab",0.75431034,0.07276811,0.91161028,-1.03150017,0.92992088,1.09977664,0.92105263,0.83396855,0.75431034
"Haem",0.75431034,0.12811216,0.95607908,-1.03546617,0.96973563,1.18929334,0.94129555,0.90691039,0.75431034
"Lutja",1.18534483,0.59438658,1.05943898,-0.47923466,1.1700168,1.0904762,1.06275304,1.3202065,1.18534483
"Mamm",0.5387931,0.02115059,0.83402643,-0.74270589,0.78031682,1.07420044,0.84008097,0.58721834,0.5387931
"MeioBenth",1.18534483,1.54308678,0.97998105,4.7842192,1.01781535,0.78123668,1.03238866,0.99906942,1.18534483
"Mycto",0.75431034,0.13482099,0.93331529,-2.16562422,0.90655747,1.02304804,0.93117409,0.79258958,0.75431034
"Ofish",1.72413793,3.72718121,1.22497632,1.91295093,1.28873704,0.87838265,1.2145749,1.60171889,1.72413793
"OmacroCrus",1.18534483,1.32901715,1.00510877,-0.32635549,1.06390073,0.88702915,1.04251012,1.09159086,1.18534483
"Omollu",0.96982759,0.46432357,1.00510877,-2.34049008,1.04535423,1.07420044,1.00202429,1.05386417,0.96982759
"Parali",0.43103448,0.03172589,0.83402643,-1.6614935,0.69291172,1.07420044,0.81983806,0.46303465,0.43103448
"Phyto",1.40086207,1.37093716,1.08886784,-0.49271038,1.21040113,0.95025423,1.11336032,1.4129159,1.40086207
"Polych",0.64655172,0.43968709,0.93331529,6.72594534,0.7772118,0.91008648,0.91093117,0.58255435,0.64655172
"RedCrab",0.5387931,0.22425121,0.91161028,12.56223291,0.77209671,1.11000712,0.8805668,0.5749116,0.5387931
"Sciae",0.96982759,0.38335359,1.00510877,-0.16798326,1.05399597,1.09409304,1.00202429,1.07136037,0.96982759
"Scom",0.64655172,0.19953372,0.91161028,-0.38286375,0.83874993,1.05928099,0.90080972,0.67845753,0.64655172
"ScoTrig",1.18534483,1.27881823,1.05943898,-0.88991107,1.10056753,0.96027009,1.06275304,1.1681297,1.18534483
"Serra",1.50862069,1.9226589,1.15291889,-2.37051733,1.23104007,0.92713728,1.15384615,1.46151088,1.50862069
"ShaRay",1.72413793,4.00016377,1.22497632,6.18017162,1.2668795,0.84481389,1.2145749,1.54784792,1.72413793
"Shri",1.29310345,1.51760993,1.08886784,0.24521894,1.1501282,0.93992538,1.09311741,1.27570475,1.29310345
"Squid",0.75431034,0.34481158,0.95607908,3.67178512,0.89499428,1.02304804,0.94129555,0.77249947,0.75431034
"Stoma",0.32327586,0.01938804,0.79998453,1.89938837,0.60202124,1.13387824,0.77935223,0.34952746,0.32327586
"Zoopl",1.72413793,3.39492204,1.22497632,3.5396985,1.27518756,0.84481389,1.2145749,1.56821573,1.72413793
