ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"Aanch",1.48870056,3.41868233,1.15121882,268.53062393,1.20796335,0.90029066,1.15825994,1.33365713,1.48870056
"Agobi",1.48870056,3.46012464,1.15121882,-438.29421866,1.22020576,0.9132135,1.15825994,1.36082669,1.48870056
"Ahake",1.83898305,2.40591885,1.29881097,-105.38580424,1.4116888,0.99382736,1.26581265,1.82143894,1.83898305
"Ajelly",0.52542373,0.42239105,0.88866014,21.40011448,0.67669278,0.87875261,0.86869496,0.41852342,0.52542373
"Amack",0.96327684,0.1480017,0.99320839,581.88437321,1.10088661,1.14504128,1.00106752,1.10769924,0.96327684
"Asard",1.31355932,2.67555233,1.10116583,17.31883228,1.11827034,0.87387065,1.10862023,1.14295805,1.31355932
"BenthProd",0.17514124,0,0.61028467,-255.47052089,0.27389212,0.475991,0.60808647,0.06856394,0.17514124
"Bird",1.05084746,0.3012454,1.03374751,-73.00171723,1.14031915,1.1533628,1.03416066,1.18847353,1.05084746
"Cepha",1.57627119,0.75674705,1.15121882,-279.70978821,1.34842224,1.02927968,1.17480651,1.66183727,1.57627119
"Crab",0.43785311,0.01824961,0.83038734,341.05323412,0.69230134,1.03985725,0.81905524,0.43805337,0.43785311
"Janch",0.35028249,0.04820214,0.80402584,-337.11390956,0.52298471,0.87875261,0.79009875,0.24998541,0.35028249
"Jgobi",0.26271186,0.00645564,0.7560243,348.31081855,0.48866117,1.02521138,0.74045903,0.21824904,0.26271186
"Jhake",1.48870056,1.15516939,1.17799135,-566.73039496,1.30680105,1.05105704,1.16653323,1.56083009,1.48870056
"Jjelly",0.35028249,0.02093946,0.80402584,-89.98340011,0.58720497,1.08013342,0.79009875,0.31514914,0.35028249
"Jmack",0.70056497,0.11508752,0.88866014,-253.18145392,0.9298917,1.10759443,0.9017881,0.79031719,0.70056497
"Jsard",0.35028249,0.04310383,0.80402584,-85.90211792,0.537001,0.9153673,0.79009875,0.26356448,0.35028249
"Lobs",0.35028249,0.52328508,0.79146294,-38.77218088,0.54207172,0.82383057,0.77768882,0.26856547,0.35028249
"MacroBenth",0.78813559,2.36515297,0.90452907,-31.60331998,0.87158812,0.9194356,0.92660795,0.69431938,0.78813559
"MacroZoopl",1.40112994,0.75487484,1.12563618,428.65884373,1.28537183,1.09844076,1.13344009,1.51006012,1.40112994
"MarMamm",0.78813559,0.14679518,0.95572883,-775.01774471,1.00797046,1.22862633,0.95142781,0.92860772,0.78813559
"MesoPela",1.2259887,0.32544184,0.99320839,14.76359473,1.22297993,1.08274875,1.05070723,1.36702148,1.2259887
"MesoZoopl",1.40112994,1.27401436,1.12563618,299.72581568,1.25960121,1.06640291,1.13344009,1.45011625,1.40112994
"MonkFish",1.13841808,0.97512646,1.07773677,-187.61476817,1.12678966,1.03647744,1.0672538,1.16043918,1.13841808
"Odem",1.31355932,1.52696164,1.10116583,-33.43102461,1.22355986,1.04473921,1.10862023,1.36831825,1.31355932
"OLineFish",0.87570621,0.21498509,0.99320839,-209.44075558,1.04369748,1.16434721,0.98452095,0.99560244,0.87570621
"OSPela",1.48870056,1.57268485,1.17799135,187.61476817,1.28282599,1.00367332,1.16653323,1.5040843,1.48870056
"Phyto",0.87570621,1.06199396,0.92097505,247.55638237,0.80234952,0.74693972,0.95556445,0.58838808,0.87570621
"Seal",1.05084746,0.35339265,1.03374751,20.51287922,1.13652061,1.1533628,1.03416066,1.18056882,1.05084746
"Sha",1.31355932,1.35914904,1.12563618,311.96966228,1.18726562,0.98615571,1.11689351,1.28834584,1.31355932
"Snoek",1.66384181,3.34211145,1.23545434,466.82770464,1.33970739,0.99823213,1.21617294,1.64042579,1.66384181
"Tuna",0.96327684,0.20815966,0.99320839,235.52547224,1.10451351,1.18498458,1.00106752,1.11500996,0.96327684
