ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
Acod,0.86890244,0.42478431,0.9530598,-3.30327517,0.98382404,1.08871214,0.9592233,0.94023832,0.86890244
AHal,0.75304878,0.29948245,0.92181194,-8.8921405,0.91960304,1.08687443,0.9223301,0.82149303,0.75304878
ASilvHake,0.92682927,0.36585732,0.96949187,-13.00877386,1.01248855,1.07826016,0.9776699,0.9958257,0.92682927
Bird,0.81097561,0.65263549,0.93717547,-7.97095808,0.94245228,1.07506058,0.9407767,0.86282322,0.81097561
BivalvMollu,0.69512195,0.60348072,0.90694401,15.73144206,0.8042971,0.88308547,0.9038835,0.62839988,0.69512195
Cape,0.86890244,0.60561302,0.9530598,-20.35993518,0.95548249,1.030693,0.9592233,0.8868467,0.86890244
Cet,0.75304878,0.38378273,0.92181194,1.80149031,0.89443379,1.02386722,0.9223301,0.77714039,0.75304878
DemPisc,0.81097561,0.23825403,0.93717547,-1.63356537,0.96656775,1.11162726,0.9407767,0.90754398,0.81097561
DogFish,0.69512195,0.23925978,0.90694401,14.43957452,0.88910149,1.10918948,0.9038835,0.76790193,0.69512195
Echino,0.69512195,0.36968607,0.89254807,-2.15775417,0.8295575,0.93854495,0.89773463,0.66849177,0.69512195
Flou,1.10060976,1.20371257,1.02237324,14.32685536,1.04658552,0.95381314,1.03300971,1.0640267,1.10060976
GreySeal,1.33231707,1.8129624,1.10255938,-3.57701257,1.16285681,0.96154486,1.10679612,1.31357709,1.33231707
Hadd,1.33231707,1.36455044,1.10255938,1.66552036,1.18544946,1.00828663,1.10679612,1.36511478,1.33231707
Jcod,1.44817073,1.61335186,1.1475618,-22.04458223,1.22106607,0.97062612,1.14368932,1.44837629,1.44817073
JDemPisc,1.27439024,1.10277464,1.08135631,5.8002832,1.16875864,1.03782904,1.08834951,1.32694448,1.27439024
JHal,0.75304878,0.37706132,0.92181194,-10.02488119,0.89378129,1.04749492,0.9223301,0.77600694,0.75304878
JLDemFish,1.04268293,1.04663611,1.00411658,-10.89577665,1.02467592,0.97267386,1.01456311,1.01994357,1.04268293
JSilvHake,1.33231707,1.52112347,1.10255938,4.10429276,1.16308939,0.96822226,1.10679612,1.31410258,1.33231707
LCrab,0.52134146,0.15994776,0.86508505,7.11601457,0.75548388,1.07506058,0.84854369,0.55443864,0.52134146
LDemFish,0.9847561,0.8285956,0.9865005,8.16874185,1.02098062,1.02988996,0.9961165,1.01260036,0.9847561
LZP,1.62195122,3.68479978,1.22240279,5.25895571,1.23856604,0.89771215,1.19902913,1.49018923,1.62195122
OBI,1.27439024,1.20808463,1.08135631,12.13624269,1.15275358,0.98430871,1.08834951,1.29085078,1.27439024
Phyto,0.28963415,0.07783389,0.80329326,18.31043043,0.57088811,1.14673128,0.76860841,0.31659575,0.28963415
Plai,1.04268293,0.85587217,1.00411658,-1.03231852,1.02349206,0.96414163,1.01456311,1.01758815,1.04268293
Poll,0.9847561,0.3825445,0.9865005,2.24572431,1.0607637,1.10818569,0.9961165,1.09305089,0.9847561
Polych,0.9847561,0.69731071,0.9865005,-10.15512865,1.00765197,0.9786966,0.9961165,0.98633445,0.9847561
RedFish,1.21646341,1.21983831,1.06095336,17.15052623,1.12087829,0.98730053,1.06990291,1.22045003,1.21646341
Sandl,1.50609756,2.11328701,1.17146934,0.14749681,1.22469752,0.9372323,1.16213592,1.45700405,1.50609756
SCrab,1.27439024,1.30700229,1.08135631,10.01578608,1.12384738,0.93776929,1.08834951,1.22692428,1.27439024
SDemFish,1.50609756,2.16160482,1.17146934,-7.48022146,1.23989879,0.97464283,1.16213592,1.49339796,1.50609756
Shri,1.67987805,3.87083765,1.2495673,-4.578492,1.25968535,0.88617473,1.21747573,1.5414422,1.67987805
Skate,0.52134146,0.14727166,0.8519777,9.7344537,0.77042696,1.12056579,0.84239482,0.57658857,0.52134146
SMesoPel,0.57926829,0.21817911,0.87860201,9.62543609,0.75401961,0.94195784,0.86699029,0.5522915,0.57926829
SPela,1.21646341,1.53194237,1.06095336,-17.37208688,1.09910135,0.93610717,1.06990291,1.17348776,1.21646341
Squid,1.21646341,1.33288165,1.06095336,4.12716564,1.10490026,0.94342051,1.06990291,1.18590317,1.21646341
SZP,0.9847561,1.23434724,0.9865005,12.26948425,0.96464021,0.90040088,0.9961165,0.90392793,0.9847561
TranMack,0.4054878,0.1069336,0.82691953,-0.38870687,0.64838462,1.04580723,0.80550162,0.40838379,0.4054878
TranPel,0.69512195,0.63587652,0.87860201,8.69969244,0.79486858,0.85748879,0.89158576,0.61375316,0.69512195
