ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
BenthInv,1.04143646,0.42599884,1.00690447,427.34149118,1.09648695,1.09619668,1.01623932,1.16411473,1.04143646
Bird,0.80110497,0.37229375,0.94123679,348.4786568,0.92705624,1.03264905,0.94188034,0.83214885,0.80110497
Cape,1.12154696,1.20886682,1.03087838,-358.82754696,1.01635506,0.86545825,1.04102564,1.00018366,1.12154696
Cet,0.64088398,0.19917879,0.90201859,7.49345475,0.82220491,1.05846527,0.89230769,0.65455928,0.64088398
Echino,0.56077348,0.09604892,0.84895867,299.70517928,0.81283095,1.12116182,0.85099715,0.6397191,0.56077348
Flou,1.36187845,1.59031152,1.11017672,516.80079681,1.18663161,0.97190499,1.11538462,1.36339181,1.36187845
GreenHal,0.72099448,0.2708052,0.92121047,-138.87649402,0.88312079,1.05559681,0.91709402,0.75514276,0.72099448
GreySeal,1.12154696,1.06914802,1.00690447,-505.31303358,1.07308671,0.97855791,1.03276353,1.11495794,1.12154696
HarbSeal,0.56077348,0.13385305,0.88361004,-121.4632897,0.79998021,1.14083133,0.86752137,0.61965126,0.56077348
HarpSeal,1.12154696,0.4572392,1.03087838,-48.2618099,1.14321674,1.12116182,1.04102564,1.26545294,1.12154696
HoodSeal,0.64088398,0.25375833,0.86593784,738.08878771,0.81846966,1.02404364,0.87578348,0.6486255,0.64088398
LCod,1.44198895,2.09579726,1.1393919,41.06545248,1.20522393,0.9523319,1.14017094,1.40645014,1.44198895
LCrus,1.28176796,0.92145606,1.0824223,83.50085373,1.15677695,0.97241119,1.09059829,1.29565121,1.28176796
LDemFeed,1.04143646,0.41858764,1.00690447,-529.16334661,1.09241399,1.08560541,1.01623932,1.15548246,1.04143646
LPelaFeed,0.64088398,0.31097503,0.90201859,-203.89129197,0.81162586,0.989622,0.89230769,0.63782363,0.64088398
LPlai,0.72099448,0.37968179,0.90201859,746.19294252,0.85862477,0.94850727,0.90883191,0.71383145,0.72099448
Lzoopl,1.44198895,2.52170542,1.1393919,-243.90039841,1.18638412,0.9370334,1.14017094,1.36282316,1.44198895
Mollu,0.64088398,0.35790935,0.88361004,258.44166192,0.82993246,1.02404364,0.88404558,0.66692093,0.64088398
Phyto,0.40055249,0.12827468,0.8017943,-41.26351736,0.62952522,0.96380578,0.79316239,0.38372061,0.40055249
PiscSPelaFeed,1.12154696,0.95342127,1.03087838,26.60671599,1.05214109,0.92938414,1.04102564,1.07185691,1.12154696
PlankSPelaFeed,1.60220994,2.87933211,1.20269145,193.78998293,1.22978749,0.88119385,1.18974359,1.46436382,1.60220994
Polych,0.96132597,0.93315383,0.98402028,-133.08309619,0.99153349,0.96954272,0.99145299,0.95192695,0.96132597
RedFish,0.56077348,0.13655088,0.84895867,413.92259533,0.74406347,0.98347528,0.85099715,0.53605435,0.56077348
SCod,1.60220994,2.63046969,1.20269145,-427.96869664,1.26619163,0.93971063,1.18974359,1.55234313,1.60220994
SDemFeed,1.52209945,2.24051823,1.17018627,-389.79169038,1.23036376,0.93119581,1.16495726,1.46573654,1.52209945
Shri,1.76243094,4.42075648,1.273438,136.18611269,1.28870736,0.87931631,1.23931624,1.60804229,1.76243094
Skate,0.56077348,0.11718791,0.88361004,205.34376779,0.79960324,1.11132707,0.86752137,0.61906741,0.56077348
SPlai,1.20165746,0.95858024,1.05602176,-741.67046101,1.12559638,0.98216398,1.06581197,1.2267448,1.20165746
Szoopl,0.80110497,0.51813968,0.94123679,-530.48377917,0.92206496,1.05330203,0.94188034,0.82321236,0.80110497
