ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"Anch",1.19337017,1.47918124,1.03272665,17.69866592,0.93499362,0.62663316,1.05356916,0.81264249,1.19337017
"AngFish",0.79558011,0.18653483,0.95448978,6.53272773,0.97947816,1.06592238,0.95431989,0.8918088,0.79558011
"BenthInv",1.09392265,2.72777968,0.99994168,8.2314389,1.09185692,0.94435437,1.0268482,1.10818865,1.09392265
"Bird",0.49723757,0.05026553,0.92641655,8.36466788,0.81028109,1.31786767,0.89324342,0.61031444,0.49723757
"CongEel",0.49723757,0.10688266,0.91299023,13.65219426,0.76729809,1.17832874,0.88560886,0.54728112,0.49723757
"Crab",2.08839779,3.42654642,1.25992651,-4.55546117,1.45562203,0.8527379,1.27497137,1.96960652,2.08839779
"DemFishOne",2.28729282,4.28742895,1.31242345,3.35520632,1.5169454,0.87296094,1.32077873,2.13905589,2.28729282
"DemFishThree",1.59116022,1.86395132,1.12493439,0.63287006,1.26305934,0.8478928,1.15281842,1.48296105,1.59116022
"DemFishTwo",1.79005525,1.94337308,1.18860992,-4.0224064,1.40971942,0.98194061,1.20626034,1.84734325,1.79005525
"DemSha",0.99447514,0.45651527,1.03272665,12.00414971,1.13310415,1.22484171,1.02303092,1.19349854,0.99447514
"DemSkate",0.6961326,0.18537758,0.95448978,-28.1047713,0.96325568,1.24034604,0.93905077,0.8625125,0.6961326
"Dolph",0.6961326,0.20425067,0.94024367,5.94829363,0.85706964,1.01885567,0.93141621,0.68283293,0.6961326
"FlatFish",1.09392265,0.4613762,1.03272665,18.0423456,1.15903782,1.10644505,1.03830004,1.2487556,1.09392265
"Gadi",0.6961326,0.13727814,0.92641655,-0.83016817,0.93614601,1.11852634,0.92378165,0.81464691,0.6961326
"HorMack",1.29281768,1.11154248,1.08614354,13.14236247,1.19245734,1.05548677,1.09174195,1.32180667,1.29281768
"Jelly",0.19889503,0,0.64281965,5.83620505,0.31116639,0.58141221,0.6390126,0.0900052,0.19889503
"LpelaFish",0.49723757,0.08908046,0.92641655,0.77968666,0.72593609,1.10080711,0.89324342,0.48986793,0.49723757
"Mack",1.09392265,0.72775456,1.04993876,-26.08052195,1.1052776,1.05006568,1.0459346,1.13559893,1.09392265
"MacroZoopl",0.99447514,1.01062404,1.03272665,6.4045617,1.02470221,0.99227683,1.02303092,0.97606239,0.99447514
"MantShri",0.59668508,0.05568246,0.94024367,1.84159403,0.91424666,1.27910685,0.91614709,0.77697849,0.59668508
"MicroMesoZoopl",0.99447514,2.27157558,0.96917424,7.07223383,0.92297653,0.8527379,0.99630996,0.79188762,0.99447514
"Mull",0.39779006,0.13363341,0.82889902,1.69332426,0.64341588,0.94963994,0.8207151,0.38482723,0.39779006
"NonVulHake",0.79558011,0.23230671,0.98431759,-16.04208747,1.00256034,1.24034604,0.96958901,0.93433642,0.79558011
"NorLobs",0.99447514,0.3445161,1.03272665,14.63761112,1.11508839,1.1240636,1.02303092,1.15584826,0.99447514
"OctoCepha",1.09392265,0.47502706,0.98431759,-16.71301766,1.1172995,0.97254405,1.01921364,1.16043667,1.09392265
"Phyto",0.49723757,0.49065423,0.82889902,6.87505605,0.59245603,0.75971195,0.83598422,0.32628303,0.49723757
"Polych",0.99447514,0.49278029,0.99994168,5.88160509,1.08177948,1.03878981,1.0077618,1.08782671,0.99447514
"Sard",1.59116022,2.85027008,1.14538774,-1.18858319,1.18266102,0.77037117,1.16045298,1.30017796,1.59116022
"Shri",1.98895028,3.49488259,1.2114678,2.03891065,1.41113284,0.84110966,1.24443313,1.85104949,1.98895028
"SpelaFish",1.09392265,1.30301211,1.03272665,-3.13827652,0.98145466,0.80340596,1.03830004,0.89541159,1.09392265
"SquidCepha",1.19337017,0.83581801,1.04993876,-6.51994537,1.1486836,1.05300211,1.06120372,1.22654385,1.19337017
"STuniAtlBoni",0.49723757,0.1004441,0.91299023,-18.78088992,0.72049157,1.08530278,0.88560886,0.48254747,0.49723757
"SupBenth",1.39226519,1.16355472,1.10519869,-4.99902093,1.26901859,1.01331842,1.11464563,1.49698761,1.39226519
"TurBrill",0.6961326,0.79899192,0.95448978,0.24682627,0.81354477,0.93025953,0.93905077,0.61524084,0.6961326
"Turtle",0.09944751,0,0.64944666,0.12035407,0.30977438,0.8527379,0.62756076,0.08920172,0.09944751
"VulHake",0.99447514,0.5011075,1.03272665,5.9422588,1.13600875,1.25585036,1.02303092,1.19962523,0.99447514
