ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"Acod",1.40186916,1.32272814,1.16291362,-0.76712028,1.20275151,0.95710052,1.14478114,1.39559257,1.40186916
"Benth",1.40186916,3.69535284,1.16291362,4.0249122,1.13213412,0.82805326,1.14478114,1.2365241,1.40186916
"Bird",0.56074766,0.22337836,0.83584417,1.49692713,0.7548599,1.02162415,0.84175084,0.54971747,0.56074766
"Cape",1.12149533,1.08424173,1.02873128,0.07901668,1.0740805,0.95441203,1.04377104,1.1129624,1.12149533
"GreenHal",0.8411215,0.24011196,0.9223108,-6.70544337,0.97608479,1.09331707,0.94276094,0.91914054,0.8411215
"Hadd",0.93457944,0.11896069,0.95525048,1.50076822,1.04347343,1.10496717,0.97643098,1.05043605,0.93457944
"Herr",0.56074766,0.24325875,0.83584417,4.71466198,0.75531985,1.00818173,0.84175084,0.55038758,0.56074766
"Jcod",1.12149533,0.57592274,1.02873128,0.75504829,1.10157244,1.02162415,1.04377104,1.17066585,1.12149533
"MarMam",1.21495327,0.51253499,1.06988053,0.22827041,1.15291259,1.02369221,1.07744108,1.28232937,1.21495327
"Mollu",0.37383178,0.01606426,0.78667686,3.17712906,0.66200674,1.18965444,0.77441077,0.42279676,0.37383178
"Nekt",1.4953271,2.57105478,1.21577333,1.74550044,1.20002227,0.88719992,1.17845118,1.38926611,1.4953271
"Neph",0.28037383,0.01606426,0.76420038,4.29653205,0.5365287,1.10227869,0.74074074,0.27771078,0.28037383
"NorthShri",1.02803738,0.53270224,0.99063012,-0.35118525,1.04553793,0.98985115,1.01010101,1.05459671,1.02803738
"OdemFish",0.93457944,0.51454302,0.95525048,1.58691835,1.01341188,1.048509,0.97643098,0.9907836,0.93457944
"OFlatFish",1.02803738,0.16983084,0.99063012,1.87829236,1.08736554,1.08517015,1.01010101,1.14066458,1.02803738
"Opel",0.8411215,0.56521323,0.9223108,-4.88696225,0.93712976,0.9947393,0.94276094,0.84723968,0.8411215
"Phyto",0.74766355,0.99513204,0.89156711,4.45182177,0.81622329,0.86703628,0.90909091,0.64272441,0.74766355
"RedFish",1.30841121,0.6640936,1.11445889,-3.12445127,1.18433085,0.99665965,1.11111111,1.35317171,1.30841121
"Saithe",1.12149533,0.6738469,1.02873128,1.96773486,1.09989511,1.01490294,1.04377104,1.1671035,1.12149533
"Zoopl",1.68224299,5.26496462,1.33735067,3.93162862,1.22435878,0.81102619,1.24579125,1.44618625,1.68224299
