ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"Benthau",0.87847222,0.62826318,0.93667969,-21.66390041,0.9552327,0.98005533,0.95672269,0.8882045,0.87847222
"Bmoll",1.4375,2.32659271,1.18886268,6.44190871,1.17583593,0.88884707,1.15966387,1.34582336,1.4375
"Ceph",0.87847222,0.17295113,0.93667969,18.90421853,1.00088598,1.09241836,0.95672269,0.97513292,0.87847222
"Crus",1.67708333,4.8108696,1.34393173,6.46576763,1.23625866,0.83380504,1.24663866,1.48769292,1.67708333
"Decomp",0.71875,0.26409651,0.88315513,-17.13865837,0.87254591,1.00710569,0.8987395,0.74109038,0.71875
"Echino",1.03819444,0.78479618,0.99711063,14.80048409,1.03798168,0.98245625,1.01470588,1.04875485,1.03819444
"Fishh",0.79861111,0.28405664,0.90913028,-21.98201936,0.94220022,1.07119423,0.92773109,0.86413382,0.79861111
"Lfishc",1.35763889,1.983081,1.14483073,3.92081604,1.16319392,0.9330538,1.13067227,1.31703967,1.35763889
"Lgroup",0.23958333,0,0.75391292,29.60096819,0.54923162,1.25888211,0.72478992,0.29363354,0.23958333
"Lschool",0.79861111,0.24123002,0.90913028,-20.07330567,0.93490968,1.05059434,0.92773109,0.85081261,0.79861111
"Lshark",1.35763889,2.38612032,1.14483073,39.77282158,1.13741308,0.88054428,1.13067227,1.25930532,1.35763889
"Mende",0.63888889,0.2106259,0.85862305,-10.47406639,0.83837087,1.07291089,0.8697479,0.68417463,0.63888889
"Pescul",0.71875,0.13138709,0.88315513,34.802213,0.91529442,1.1368087,0.8987395,0.81548549,0.71875
"Phyto",0.79861111,0.13382955,0.90913028,-11.38865837,0.95806784,1.09866075,0.92773109,0.89348472,0.79861111
"Plongi",0.71875,0.23651335,0.88315513,-4.03215768,0.89596885,1.09103116,0.8987395,0.78141263,0.71875
"Prown",1.19791667,0.88427508,1.06587689,21.69571231,1.11615656,0.97963917,1.07268908,1.21267616,1.19791667
"Scom",1.11805556,0.786028,1.03034766,-5.43188105,1.06149298,0.94170922,1.04369748,1.09680357,1.11805556
"Seabird",0.95833333,0.65262085,0.93667969,-10.48997234,0.973172,0.90982844,0.97605042,0.92187877,0.95833333
"Sess",1.27777778,1.72818922,1.10394392,5.95677732,1.11618362,0.90982844,1.10168067,1.21273495,1.27777778
"Sfisho",1.4375,1.61020221,1.18886268,9.30497925,1.19653747,0.92699501,1.15966387,1.39362912,1.4375
"Sschool",1.11805556,0.8534145,1.03034766,-19.07918396,1.07629635,0.97604237,1.04369748,1.12760849,1.11805556
"Turtle",0.39930556,0,0.77276074,-8.55739972,0.66641352,1.08492749,0.77310924,0.43229698,0.39930556
"Zoopl",1.4375,1.89085697,1.18886268,-18.35546335,1.18035614,0.89266186,1.15966387,1.3561906,1.4375
