ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"Bird",0.77464789,0.16038285,0.9256817,-3.46555124,0.95555595,1.14022843,0.92975207,0.8787364,0.77464789
"Cape",1.47887324,1.86617226,1.17586595,7.54929144,1.22212951,0.92778643,1.16219008,1.43741058,1.47887324
"Cet",0.28169014,0,0.76328141,17.87752535,0.607758,1.27860567,0.74380165,0.35547392,0.28169014
"Dolph",0.70422535,0.08455324,0.88789878,6.7875966,0.92975163,1.1750995,0.89876033,0.83191753,0.70422535
"Echino",0.49295775,0.21996315,0.82088755,5.08502526,0.68962752,0.97417575,0.82128099,0.45769434,0.49295775
"Flou",1.12676056,1.32466822,1.03588191,-0.017806,1.05922904,0.93992738,1.04597107,1.07975726,1.12676056
"GreySeal",0.91549296,0.24894067,0.94580522,6.25156136,1.03435314,1.1193654,0.96849174,1.02963679,0.91549296
"HarpSeal",1.1971831,0.99458798,1.06114732,-1.40111332,1.14135159,1.03864326,1.06921488,1.25367589,1.1971831
"HoodSeal",0.77464789,0.19005885,0.88789878,-14.94357048,0.94487496,1.09041263,0.9142562,0.85920156,0.77464789
"Lcod",1.26760563,1.7354303,1.087676,14.0850125,1.12971905,0.96064553,1.09245868,1.22825145,1.26760563
"Lcrus",0.56338028,0.27195187,0.85307922,-2.27497877,0.67993238,0.82957154,0.85227273,0.4449158,0.56338028
"Ldem",1.33802817,1.69656459,1.11556513,-0.1428015,1.16438359,0.9549486,1.11570248,1.30478371,1.33802817
"LGreenHal",0.70422535,0.07923746,0.90639667,-11.84212919,0.92455476,1.1629223,0.90650826,0.82264347,0.70422535
"Lpela",0.91549296,0.38015624,0.96682311,5.15280447,1.01099126,1.06784649,0.97623967,0.98365132,0.91549296
"Lzoopl",1.4084507,2.77484074,1.14492211,11.30781633,1.18330039,0.93459986,1.13894628,1.34752363,1.4084507
"Mollu",0.70422535,0.74432054,0.90639667,11.29308034,0.80714616,0.92546696,0.90650826,0.62697575,0.70422535
"OBenthInv",0.91549296,0.75730072,0.96682311,-7.44987661,0.9749852,1.00696051,0.97623967,0.91483427,0.91549296
"Phyto",0.35211268,0.10447017,0.79103709,2.44256354,0.57914509,0.93764416,0.77479339,0.32279079,0.35211268
"PiscSPela",1.4084507,2.04361982,1.14492211,10.53394516,1.1862396,0.92546696,1.13894628,1.3542262,1.4084507
"Plai",1.1971831,1.16172172,1.06114732,8.13009285,1.11218156,0.98133881,1.06921488,1.19041325,1.1971831
"PlankSPela",1.54929577,2.46696545,1.20852889,-4.21724931,1.24289359,0.92712749,1.18543388,1.48666895,1.54929577
"Polych",0.84507042,0.97146678,0.9256817,-3.8252728,0.89406555,0.92851126,0.94524793,0.76928115,0.84507042
"RedFish",1.05633803,0.39043052,1.01179163,-7.05580825,1.08957712,1.05941613,1.02272727,1.14251609,1.05633803
"Scod",1.12676056,0.67850084,1.03588191,-5.51996315,1.10384219,1.01222949,1.04597107,1.17262825,1.12676056
"SCrus",0.56338028,0.50339919,0.82088755,0.61886941,0.66164661,0.7610748,0.83677686,0.42130689,0.56338028
"Sdem",1.83098592,3.84640394,1.359595,-2.08410718,1.32585093,0.89689738,1.27840909,1.69174838,1.83098592
"SGreenHal",0.91549296,0.26741409,0.96682311,-8.93567673,1.02278427,1.07253003,0.97623967,1.00673335,0.91549296
"Shri",1.61971831,2.22086811,1.24305829,1.71572848,1.28049716,0.9344675,1.20867769,1.57798771,1.61971831
"Skate",1.05633803,0.96461159,1.01179163,-6.76845362,1.04232301,0.98229388,1.02272727,1.04556498,1.05633803
"Szoopl",0.91549296,0.85099809,0.96682311,1.11344504,0.99930919,1.05379588,0.97623967,0.96105034,0.91549296
