ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"Amugi",1.15384615,2.11111111,1.11827957,1.42857143,1.0586593,0.95267681,1.07142857,1.11492333,1.15384615
"Ang",1.15384615,2.11111111,1.11827957,1.42857143,1.0586593,0.95267681,1.07142857,1.11492333,1.15384615
"Apred",1.15384615,2.11111111,1.11827957,1.42857143,1.0586593,0.95267681,1.07142857,1.11492333,1.15384615
"Ather",1.02564103,0.55555556,1.00645161,0,1.0222053,1.00963032,1.01190476,1.03946252,1.02564103
"Benth",1.02564103,0.55555556,1.00645161,0,1.0222053,1.00963032,1.01190476,1.03946252,1.02564103
"Benthprod",0.76923077,0,0.83870968,-2.85714286,0.90291735,1.05622864,0.89285714,0.81101441,0.76923077
"Mollu",0.64102564,0,0.77419355,2.85714286,0.82484426,1.06865486,0.83333333,0.67682514,0.64102564
"Phyto",1.02564103,1,1.00645161,2.85714286,1.0148223,0.99409755,1.01190476,1.02450145,1.02564103
"Ypred",1.02564103,0.55555556,1.00645161,0,1.0222053,1.00963032,1.01190476,1.03946252,1.02564103
"Zoopl",1.02564103,1,1.00645161,2.85714286,1.0148223,0.99409755,1.01190476,1.02450145,1.02564103
