ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"Aquad",0.65853659,0.11207525,0.86985171,3.24270225,0.90112784,1.23095327,0.88085106,0.79340197,0.65853659
"Arhom",0.54878049,0.08902787,0.83985682,2.0116764,0.81730765,1.22494862,0.84255319,0.65266691,0.54878049
"Bchry",0.76829268,0.07684569,0.90206844,-1.68140117,0.95293967,1.13230545,0.91914894,0.88726076,0.76829268
"BenthProd",1.31707317,2.16820926,1.10708399,3.91826522,1.07343318,0.74307545,1.1106383,1.12582398,1.31707317
"CatFish",0.98780488,0.2412503,0.97423392,-3.21267723,1.05625966,1.07082927,0.99574468,1.09008874,0.98780488
"Copep",0.65853659,0.37616609,0.86985171,1.62135113,0.80091806,0.93072077,0.88085106,0.62675332,0.65853659
"Deca",1.53658537,1.97221792,1.21779239,1.42618849,1.20756685,0.82349487,1.18723404,1.42476365,1.53658537
"Hjagu",0.87804878,0.11207525,0.93676338,-4.11342786,1.01932366,1.13713062,0.95744681,1.01518378,0.87804878
"Hplum",0.65853659,0.11207525,0.86985171,3.24270225,0.90112784,1.23095327,0.88085106,0.79340197,0.65853659
"Lrhom",0.87804878,0.6191175,0.93676338,3.13761468,0.97192961,1.04706086,0.95744681,0.92297533,0.87804878
"MicroCrus",1.53658537,3.22032193,1.21779239,-0.42035029,1.17043534,0.75272578,1.18723404,1.33849057,1.53658537
"Mojar",1.09756098,0.66982173,1.014827,-4.14345288,1.08560175,1.00878122,1.03404255,1.15149362,1.09756098
"Mollu",1.64634146,3.94247302,1.28188673,5.26939116,1.1887061,0.73256731,1.22553191,1.38060501,1.64634146
"Ochry",0.65853659,0.11207525,0.86985171,3.24270225,0.90112784,1.23095327,0.88085106,0.79340197,0.65853659
"Ofish",1.53658537,2.15390806,1.21779239,1.23102585,1.20657774,0.82992843,1.18723404,1.4224306,1.53658537
"Oogli",0.76829268,0.26841328,0.90206844,1.80150125,0.92277626,1.08083702,0.91914894,0.83198078,0.76829268
"Phyto",0.43902439,0.14626219,0.8118616,1.57631359,0.65747541,0.96824983,0.80425532,0.4223568,0.43902439
"Worm",1.42682927,1.60766417,1.15980228,-0.1501251,1.16536555,0.82448465,1.14893617,1.32692022,1.42682927
