ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
Anch,1.0720339,0.95247191,1.02331974,32.20908322,1.05624161,0.99361011,1.02752708,1.09033606,1.0720339
Anne,1.0720339,0.71514434,1.02331974,1.48705219,1.06502636,0.99361011,1.02752708,1.1085481,1.0720339
BenthProd,0.97457627,0.69372267,0.9932221,-8.01009873,1.00457332,0.99678966,0.99638989,0.98627292,0.97457627
CatFish,1.0720339,0.52017883,1.02331974,-10.58843441,1.090613,1.0810478,1.02752708,1.16245238,1.0720339
Crab,1.26694915,1.33737046,1.08934037,-13.2848519,1.1444833,0.98871849,1.08980144,1.28012609,1.26694915
Flou,0.48728814,0.03878968,0.84423879,-14.65771509,0.77280069,1.20664012,0.83032491,0.58367197,0.48728814
Gru,0.97457627,0.72440518,0.9932221,-3.00784203,1.02104807,1.05799605,0.99638989,1.01888745,0.97457627
Herr,1.0720339,0.98767599,1.02331974,-16.19667137,1.05179519,0.98566123,1.02752708,1.0811755,1.0720339
Jack,1.26694915,2.05905522,1.08934037,-5.3461213,1.09777536,0.9012808,1.08980144,1.17777081,1.26694915
KingMack,0.58474576,0.19714286,0.86588594,13.03052186,0.78925129,1.04925228,0.86146209,0.60878569,0.58474576
LizFish,0.58474576,0.13344955,0.86588594,11.9587024,0.81112944,1.12211702,0.86146209,0.64300472,0.58474576
MicroCrus,1.36440678,2.57705513,1.12565172,9.05856135,1.15395125,0.91185019,1.12093863,1.30139386,1.36440678
Mojar,1.0720339,0.85425742,1.02331974,-19.63401975,1.05215352,1.00950787,1.02752708,1.0819123,1.0720339
Mollu,0.97457627,1.38584178,0.9932221,-1.19379408,0.94763708,0.86563313,0.99638989,0.87764307,0.97457627
Ofish,1.0720339,0.81782107,1.02331974,-7.85827927,1.06960189,1.02540564,1.02752708,1.11809358,1.0720339
Phyto,0.29237288,0.02346939,0.76748981,9.68919605,0.56463005,1.10754407,0.74729242,0.31157443,0.29237288
RedGroup,0.87711864,0.55670926,0.9380431,5.84829337,0.93780502,0.97152989,0.95487365,0.85952585,0.87711864
RedSnap,0.77966102,0.35948813,0.88867241,12.64643159,0.87769799,0.93995517,0.9133574,0.75287702,0.77966102
Sha,0.97457627,0.70063812,0.96484433,3.08829337,0.97998949,0.93558328,0.98601083,0.93859161,0.97457627
Shri,1.75423729,3.43031376,1.2988289,-3.2777433,1.29124278,0.88894985,1.24548736,1.62948229,1.75423729
SpanMack,0.97457627,0.65248559,0.9932221,-18.47526093,1.01672594,1.03176474,0.99638989,1.01027973,0.97457627
Trout,1.0720339,1.03896518,1.02331974,40.39565585,1.05522901,1.01745675,1.02752708,1.08824648,1.0720339
Zoopl,1.36440678,2.24354849,1.12565172,5.1190409,1.14859833,0.91809574,1.12093863,1.28934812,1.36440678
