ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"Aanch",0.72434018,0.88134105,0.90633996,-14.28155994,0.8630195,1.00930785,0.91146169,0.70102509,0.72434018
"AngFish",1.3372434,1.22185199,1.10182505,-41.15919074,1.19561842,0.99345895,1.11332904,1.34548092,1.3372434
"Asard",0.83577713,1.13328611,0.93655129,42.11470697,0.94091379,1.04445787,0.94816484,0.83328202,0.83577713
"BenthCepha",1.28152493,0.77420445,1.0806361,52.57856641,1.19619048,1.04729607,1.09497746,1.34676875,1.28152493
"BenthInv",1.22580645,2.06098133,1.06024674,-14.60078235,1.14751562,1.00143333,1.07662589,1.23939449,1.22580645
"BenthPelaCepha",1.44868035,1.55610665,1.17068911,3.20930832,1.21818871,0.98106229,1.15614939,1.39675903,1.44868035
"BepeFish",1.05865103,0.33045287,1.00344781,-0.09157557,1.12201951,1.14409366,1.02157115,1.18493129,1.05865103
"Bird",0.2228739,0.05443101,0.66896521,42.29015858,0.39840999,0.70990496,0.66677399,0.14940075,0.2228739
"Crab",1.17008798,1.51948601,1.04061254,34.37557952,1.13341073,1.02347546,1.05827431,1.20911326,1.17008798
"DemFishFour",0.94721408,0.16512927,0.96884616,-9.61893539,1.06942039,1.14909566,0.984868,1.07643862,0.94721408
"DemFishOne",0.83577713,0.08360548,0.93655129,22.6491554,1.0124855,1.16522331,0.94816484,0.9648726,0.83577713
"DemFishThree",1.17008798,0.55098048,1.06024674,4.96011716,1.15327341,1.06310891,1.0643915,1.25186328,1.17008798
"DemFishTwo",1.50439883,1.58650251,1.19559739,-27.75870327,1.26369763,0.9991255,1.17450097,1.5030682,1.50439883
"Dolph",0.83577713,0.40994429,0.92119799,-5.12625599,0.93473685,0.99223498,0.94204765,0.82237722,0.83577713
"FlatFish",1.22580645,0.7365729,1.0806361,36.45364842,1.16710202,1.05484311,1.08274308,1.28206483,1.22580645
"Gadi",1.67155425,2.09903044,1.27711539,-11.41462287,1.31704407,0.98244319,1.2295557,1.63264951,1.67155425
"Hake",1.50439883,1.73169712,1.19559739,-5.38795323,1.25510056,0.98099255,1.17450097,1.4826867,1.50439883
"HorMack",1.28152493,1.2022847,1.10182505,39.03747214,1.16575327,1.02813822,1.10109466,1.27910334,1.28152493
"Janch",0.83577713,0.35794583,0.92119799,-35.95112007,0.9602396,1.07056932,0.94204765,0.8678638,0.83577713
"Jelly",0.55718475,1.16202804,0.86450888,-6.59679228,0.66913534,0.82251057,0.85640695,0.42142499,0.55718475
"Jsard",0.8914956,1.22004229,0.95242504,6.3390385,0.96421201,1.01589848,0.96651642,0.87505918,0.8914956
"LogTurtle",0.16715543,0.04679267,0.71130478,-21.9766113,0.38321287,0.86494168,0.68512556,0.13822052,0.16715543
"LPelaFish",0.55718475,0.19543106,0.85141026,-7.33672428,0.74017086,0.95469977,0.85028976,0.51565154,0.55718475
"Mack",1.1143695,1.0109293,1.04061254,-23.37699085,1.07246622,1.00610668,1.04603992,1.08257898,1.1143695
"MacroZoopl",1.44868035,3.8351988,1.17068911,73.42289674,1.18417354,0.91892207,1.15614939,1.31984536,1.44868035
"MesoZoopl",1.22580645,3.02902472,1.0806361,-44.79446797,1.06818002,0.89016296,1.08274308,1.07394304,1.22580645
"MicroZoopl",0.2228739,0,0.7393826,-25.39402567,0.3956957,0.7833434,0.71571153,0.14737201,0.2228739
"MPelaFish",0.8914956,0.72381584,0.96884616,23.81558047,0.9392873,0.95775971,0.97263361,0.83040365,0.8914956
"Mull",0.83577713,0.20017146,0.93655129,-44.34890395,1.00275784,1.16848724,0.94816484,0.94642124,0.83577713
"NorLobs",0.50146628,0.03451302,0.85141026,7.09028895,0.78489582,1.16957522,0.83805538,0.57985096,0.50146628
"OSPelaFish",0.78005865,1.62931501,0.93655129,43.27258923,0.85788383,0.94420857,0.93593046,0.69270657,0.78005865
"Phyto",0.33431085,0.15674655,0.82636878,-12.27104596,0.50992057,0.83230237,0.78911784,0.24473575,0.33431085
"PicaBog",0.83577713,0.21566724,0.92119799,-43.22091273,1.0020208,1.16195938,0.94204765,0.94503049,0.83577713
"Polych",1.1143695,0.37863508,1.00344781,-35.17073225,1.12672669,1.0526177,1.03380554,1.19489436,1.1143695
"RaySkate",1.50439883,1.3752171,1.19559739,26.57263963,1.27072233,1.00819197,1.17450097,1.5198253,1.50439883
"Sha",1.00293255,0.85627892,1.00344781,31.50963918,1.03146127,1.00637868,1.00933677,1.00137835,1.00293255
"Shri",1.44868035,1.39130263,1.1467975,-4.78684913,1.25194947,1.01872303,1.1500322,1.47525111,1.44868035
"SupBenth",1.44868035,2.08305578,1.17068911,-17.02662982,1.23098745,0.98294533,1.15614939,1.42626294,1.44868035
