ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
Anch,1.45454545,2.08319328,1.1739328,24,1.20765241,0.93996302,1.15540541,1.4201449,1.45454545
CutFish,1.27272727,1.42436975,1.09567061,-12,1.14506964,1.0041841,1.09459459,1.27676965,1.27272727
Hake,0.72727273,0.17647059,0.86500311,-48,0.89866944,1.0625669,0.89189189,0.7864094,0.72727273
JackMack,0.72727273,0.41512605,0.91305884,-60,0.85867832,0.98083098,0.91216216,0.7179757,0.72727273
Mack,0.54545455,0.26470588,0.82175296,-60,0.72645101,0.98083098,0.83108108,0.51387965,0.54545455
Opela,0.90909091,0.57142857,0.96676818,-12,1.0062404,1.07891408,0.97297297,0.98594401,0.90909091
Phyto,0.54545455,0.17647059,0.86500311,-24,0.7755811,1.14430281,0.85135135,0.58573771,0.54545455
Sha,0.90909091,0.67647059,0.96676818,96,0.9734927,1.01352535,0.97297297,0.92281395,0.90909091
Shri,0.90909091,1.35630252,0.96676818,48,0.88739592,0.81735915,0.97297297,0.76680266,0.90909091
Squid,1.27272727,0.96554622,1.09567061,36,1.17175526,1.02753722,1.09459459,1.33697282,1.27272727
WeakFish,1.27272727,0.83529412,1.09567061,84,1.17053461,1.05089034,1.09459459,1.33418875,1.27272727
Zoopl,1.45454545,3.05462185,1.1739328,-60,1.17847918,0.89909507,1.15540541,1.35236082,1.45454545
