ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"Bird",0.57692308,0.28476787,0.85145379,8.97785349,0.77729286,1.05856871,0.85227273,0.58157496,0.57692308
"CarangO",0.86538462,0.27878543,0.93953521,-15.09369676,0.98711508,1.08148145,0.95454545,0.93793323,0.86538462
"CatFish",0.76923077,0.15297374,0.90821737,9.13117547,0.94255621,1.10324856,0.92045455,0.85516685,0.76923077
"EndBenth",0.96153846,1.84606847,0.97309004,3.10051107,0.90492623,0.79186439,0.98863636,0.78824768,0.96153846
"EpBenth",1.53846154,4.41106204,1.23847823,4.42930153,1.18816077,0.82485874,1.19318182,1.3588977,1.53846154
"FlatFish",1.05769231,0.38470547,1.00913041,2.6746167,1.09529521,1.07231636,1.02272727,1.15477858,1.05769231
"LizFish",0.96153846,0.12772121,0.97309004,1.12436116,1.06540264,1.1053107,0.98863636,1.09260675,0.96153846
"Lscian",1.25,0.62645859,1.08986085,2.93015332,1.16630595,1.00886568,1.09090909,1.3093668,1.25
"Mangr",0.28846154,0.02272727,0.75684781,6.69505963,0.56712411,1.18229752,0.73863636,0.30959402,0.28846154
"MicroPhyto",0.38461538,0.02272727,0.77847203,-0.45996593,0.66783632,1.19604517,0.77272727,0.42931534,0.38461538
"MorEel",1.15384615,0.42083088,1.04794312,5.09369676,1.13281474,1.03107342,1.05681818,1.2352479,1.15384615
"Phyto",0.38461538,0.117963,0.80136827,9.40374787,0.60513205,0.98983048,0.78409091,0.35248176,0.38461538
"PreCrab",1.15384615,0.7398088,1.04794312,-4.24190801,1.11346937,0.9967043,1.05681818,1.19341885,1.15384615
"RaySha",1.15384615,0.41541963,1.04794312,-1.85689949,1.13225833,1.0241996,1.05681818,1.23403477,1.15384615
"SdemFish",1.44230769,1.9136076,1.18463135,-7.15502555,1.20520733,0.92384178,1.15909091,1.39816966,1.44230769
"Shrimp",1.63461538,4.00855482,1.29745339,0.68143101,1.2351303,0.84911929,1.22727273,1.46845924,1.63461538
"SnaGru",1.34615385,0.92384688,1.13527171,-7.63202726,1.19651169,0.99572233,1.125,1.3780667,1.34615385
"Spela",1.15384615,1.89078283,0.97309004,7.71720613,1.03423061,0.81798491,1.03409091,1.02960613,1.15384615
"Squid",0.96153846,0.57635646,0.97309004,-1.19250426,0.9951758,0.95683613,0.98863636,0.95331396,0.96153846
"Zoopl",0.96153846,0.83483173,0.97309004,-4.32708688,0.98805441,0.98983048,0.98863636,0.93971913,0.96153846
