ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"Ahake",1.13422819,0.52556321,1.05861552,-8.9978115,1.14832013,1.09185741,1.05706134,1.24013642,1.13422819
"Aherr",1.5704698,1.56380974,1.18693256,-10.88953468,1.29155032,0.96196512,1.18687589,1.5687949,1.5704698
"ARChin",1.04697987,0.39665422,1.00432755,3.60901231,1.0991648,1.07137317,1.01997147,1.13623754,1.04697987
"ARCoho",1.13422819,0.4320858,1.03075722,3.90750906,1.14692781,1.08042434,1.04778887,1.23713096,1.13422819
"Bird",0.7852349,0.27001944,0.93258986,-30.36551501,0.92775733,1.07343747,0.93651926,0.80949151,0.7852349
"CarnZoopl",1.48322148,1.70118127,1.11910784,10.9389732,1.24268337,0.93986494,1.14978602,1.45232723,1.48322148
"DemFish",1.65771812,3.22548517,1.26350885,11.41003839,1.27771142,0.90351276,1.22396576,1.5353559,1.65771812
"DogFish",1.04697987,0.65278808,1.00432755,-1.73034837,1.06223793,0.99086536,1.01997147,1.06117527,1.04697987
"Dolph",0.87248322,0.38780259,0.95533596,0.82646289,0.98879973,1.04040863,0.96433666,0.91951789,0.87248322
"Eula",1.30872483,1.28234311,1.08802151,27.3880099,1.18497938,0.98591103,1.10342368,1.32058116,1.30872483
"Grass",0.17449664,0,0.6753237,6.5389445,0.35237569,0.81746392,0.65834522,0.11677648,0.17449664
"GrazInv",1.04697987,2.66806844,1.03075722,-11.70853514,0.9384049,0.7988852,1.02924394,0.82817867,1.04697987
"Hal",0.34899329,0,0.81601613,21.60650091,0.68654407,1.28193206,0.78815977,0.44328226,0.34899329
"HerbZoopl",1.48322148,1.51150757,1.15202277,-21.35557708,1.24348818,0.95297933,1.15905849,1.45420901,1.48322148
"Jelly",0.52348993,0.02915452,0.85149509,39.96684964,0.78797543,1.13949516,0.84379458,0.58394085,0.52348993
"Jhake",0.95973154,0.19563124,0.97921936,-15.44627417,1.08384023,1.13499123,0.99215407,1.10477553,0.95973154
"Jherr",1.39597315,1.45434851,1.11910784,-27.06059628,1.1966139,0.92893627,1.13124108,1.34664026,1.39597315
"JRChin",0.87248322,0.54844288,0.97921936,-0.41602985,0.97522383,1.03297714,0.97360913,0.89444186,0.87248322
"JRCoho",0.95973154,0.58965677,1.00432755,-13.8334589,1.0304535,1.04040863,1.00142653,0.9986201,0.95973154
"LingCod",1.30872483,0.73487646,1.08802151,-13.41742905,1.21256614,1.0354543,1.10342368,1.38278412,1.30872483
"Phyto",0.69798658,0.35894624,0.91090173,6.05108887,0.8260148,0.947515,0.90870185,0.64168097,0.69798658
"PredInv",0.69798658,0.29745303,0.91090173,-10.6218204,0.81747038,0.91964691,0.90870185,0.62847435,0.69798658
"SealLion",1.22147651,3.9764776,1.08802151,31.89997489,1.11011284,0.92893627,1.08487874,1.15898486,1.22147651
"ShellFish",0.87248322,1.97479496,0.97921936,-14.347433,0.87608096,0.86948435,0.97360913,0.72182511,0.87248322
"Spela",1.30872483,1.22290912,1.11910784,-22.44788864,1.18799874,0.99086536,1.11269615,1.32731948,1.30872483
"TranOrc",0.08724832,0,0.65281291,64.49488753,0.3047042,1.04040863,0.62125535,0.08731732,0.08724832
