ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"Ari",0.71122995,0.29434453,0.89147909,15.78925522,0.8845047,0.94035587,0.90702599,0.72017666,0.71122995
"Benth",2.3368984,6.34886396,1.31099867,-37.61107321,1.47991153,0.74851069,1.31665063,2.01609163,2.3368984
"Caran",1.42245989,0.75194629,1.09608085,-46.54077986,1.30259137,1.03852489,1.11183831,1.56190692,1.42245989
"Cepha",1.72727273,2.38733742,1.15277469,30.97064932,1.27842565,0.80845075,1.17767084,1.5044914,1.72727273
"CrabLobs",0.30481283,0.01279461,0.90352611,-85.9532403,0.63601623,1.27791952,0.85582291,0.3723704,0.30481283
"Cucu",0.10160428,0,0.56661807,72.29627704,0.16124154,0.2170052,0.54494706,0.02393275,0.10160428
"DemBenth",1.11764706,0.75524208,1.02862972,-21.13151148,1.11347465,0.96665953,1.03869105,1.14129896,1.11764706
"DemPisc",1.52406417,0.84342231,1.09608085,12.02128538,1.3187719,0.95964522,1.12646776,1.60095131,1.52406417
"FalTrev",0.71122995,0.22258564,0.95515617,13.132842,0.81819465,0.89902155,0.94725698,0.61624304,0.71122995
"Jcaranx",0.50802139,0.07066397,0.91590318,2.31005117,0.74616307,1.11396003,0.8960539,0.51251462,0.50802139
"Jelly",0.10160428,0,0.75978332,6.35655739,0.39464869,1.66370654,0.72781521,0.14337059,0.10160428
"Jnemi",0.40641711,0.04400852,0.90352611,-10.82279083,0.70956821,1.26586367,0.87410972,0.46347579,0.40641711
"Jpela",0.60962567,0.11864376,0.92862406,-4.5520292,0.79607411,1.03680263,0.91799808,0.58337223,0.60962567
"Jsaur",0.40641711,0.04400852,0.90352611,-10.82279083,0.70956821,1.26586367,0.87410972,0.46347579,0.40641711
"Lpisc",1.72727273,1.70869339,1.09608085,53.66660555,1.32111546,0.82972577,1.15938402,1.6066464,1.72727273
"Lutja",1.21925134,0.3865547,1.02862972,-14.35669265,1.20557109,0.97049548,1.0533205,1.33790232,1.21925134
"Mamm",0.81283422,0.1503367,0.99792436,-26.99156901,1.01614433,1.1392773,0.98017324,0.95049437,0.81283422
"Nemi",0.81283422,0.14140971,0.99792436,24.31501558,1.05407146,1.23873802,0.98017324,1.02277209,0.81283422
"Phyto",0.60962567,0.22606686,0.96899901,9.22977288,0.81191261,1.02474678,0.93628489,0.60681643,0.60962567
"Plecto",0.60962567,0.22378,0.95515617,-14.026359,0.87387102,1.15736107,0.92897016,0.70296457,0.60962567
"Pomf",1.01604278,0.25204249,1.02862972,33.80147139,1.1550176,1.17182808,1.0240616,1.22804975,1.01604278
"PonyFish",0.9144385,0.2706703,1.01304442,-19.34744711,1.03558379,1.03680263,1.00211742,0.98720932,0.9144385
"Pria",0.71122995,0.0661055,0.983249,-4.49362641,0.98105729,1.1986954,0.95822907,0.88598729,0.71122995
"Rast",0.9144385,0.31290952,0.96899901,-6.86208037,0.98351241,0.95643033,0.98383061,0.89042726,0.9144385
"Ray",0.30481283,2.3030303,0.81537722,58.97509175,0.57158773,1.01269094,0.7973051,0.30074925,0.30481283
"Saur",0.81283422,0.20052059,0.983249,48.6992084,0.98724641,1.03981659,0.97285852,0.89720127,0.81283422
"Scian",1.11764706,1.09290945,1.01304442,-7.61815664,1.04024284,0.8219894,1.03137632,0.99611213,1.11764706
"Scomber",0.9144385,0.2140559,0.99792436,11.53055346,1.06909351,1.085026,0.99480269,1.05213179,0.9144385
"Sdem",1.52406417,0.81237965,1.11434887,-24.43349634,1.33806512,1.0078686,1.13378248,1.64813679,1.52406417
"SergShri",0.81283422,0.4875714,0.99792436,-17.77011491,0.95909584,1.03981659,0.98017324,0.84676475,0.81283422
"Sha",1.42245989,0.64303196,1.07840213,-10.05765337,1.29928633,0.99202378,1.10452358,1.55399099,1.42245989
"ShellFish",0.50802139,0.25400587,0.89147909,-3.78228499,0.65566212,0.76675171,0.88142445,0.39572997,0.50802139
"Shri",1.82887701,3.3807168,1.19394521,10.96870263,1.37458119,0.84792773,1.20692974,1.73932024,1.82887701
"Silla",0.60962567,0.06499744,0.94170327,-2.52182791,0.92149769,1.25380783,0.92165544,0.78167687,0.60962567
"Spela",0.9144385,0.35093795,0.96899901,13.6536129,0.97274906,0.90820695,0.98383061,0.8710446,0.9144385
"TraFish",1.62566845,1.17857236,1.13323614,37.47504115,1.33905105,0.92679305,1.15572666,1.6505665,1.62566845
"Tuna",1.93048128,3.84943657,1.13323614,-40.5318409,1.285833,0.68527958,1.20327238,1.5219763,1.93048128
"Zoopl",2.3368984,7.53540298,1.28578715,-6.9646279,1.39899652,0.68561063,1.3093359,1.80165662,2.3368984
