ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"BalWhale",0.62419355,0.2203187,0.86070186,-185.73297973,0.80525603,0.94604432,0.87475782,0.61314042,0.62419355
"Benth",2.08064516,4.85595588,1.29105279,63.99122688,1.39068913,0.79362607,1.28535843,1.82874058,2.08064516
"Bird",0.9016129,0.36814157,0.98192748,197.4236734,1.04621777,1.11989008,0.98187102,1.03499003,0.9016129
"BonShad",0.83225806,0.47677698,0.92955801,104.94261101,0.89035771,0.83654845,0.94616662,0.74958525,0.83225806
"CarnZoopl",1.87258065,4.4545523,1.22310265,193.41671829,1.3145271,0.80004983,1.23180183,1.63392105,1.87258065
"CatFish",0.69354839,0.25323836,0.91732699,67.43363885,0.84972682,0.94078852,0.91641295,0.68273259,0.69354839
"Cepha",1.87258065,2.21610276,1.22310265,-16.51341795,1.38891421,0.89153971,1.23180183,1.82407557,1.87258065
"Croak",0.55483871,0.11188142,0.88249178,74.52722331,0.81059517,1.09714863,0.87475782,0.62129807,0.55483871
"Crus",2.28870968,8.57516832,1.36699708,66.83163139,1.43829333,0.78040693,1.33891503,1.95608137,2.28870968
"GAfriThre",0.69354839,0.42127447,0.91732699,-134.0126076,0.8026387,0.84092829,0.91641295,0.60916112,0.69354839
"Group",0.06935484,0,0.75779186,-323.86828515,0.3437673,1.73441459,0.71408802,0.1117432,0.06935484
"HerbZoopl",1.52580645,2.39921331,1.12446534,-34.45511316,1.21184106,0.85287329,1.14254082,1.38861966,1.52580645
"Jack",0.76290323,0.07271777,0.94211961,21.67797112,1.00262798,1.18494441,0.94021589,0.95054269,0.76290323
"LBathyPelaPred",0.69354839,0.18568049,0.94211961,-191.90478745,0.86709936,1.00911395,0.92831442,0.71093471,0.69354839
"LBathyPred",0.83225806,0.17691745,0.9682896,606.49177314,0.99756773,1.11685788,0.96401882,0.94097214,0.83225806
"LCoastShaRay",1.17903226,0.81771765,1.02524781,142.3721505,1.132673,0.95841092,1.04732909,1.2131125,1.17903226
"LDeepShaRay",0.9016129,0.2259011,0.98192748,-287.956616,1.05781265,1.13201885,0.98187102,1.05805805,0.9016129
"LDemInvFeed",0.20806452,0,0.83996206,-294.33217143,0.55906316,1.48914384,0.79144755,0.29553828,0.20806452
"LDemPred",1.38709677,2.19970387,1.0893258,-21.62930553,1.18100901,0.91188161,1.10683642,1.31885911,1.38709677
"LessAfriThre",0.62419355,0.20442397,0.91732699,143.47127405,0.81458478,0.97524322,0.90451149,0.62742897,0.62419355
"LPelaPred",1.2483871,0.5974042,1.04055001,-155.8196285,1.18549846,0.98984267,1.06518129,1.32890512,1.2483871
"LTuna",0.9016129,0.27291933,0.9682896,-327.24645982,1.04070071,1.07541791,0.97592029,1.02410311,0.9016129
"MBathyPelaInvFeed",0.41612903,0.08403574,0.8502055,-265.09491816,0.65579577,0.981083,0.83310268,0.40665789,0.41612903
"MCoastShaRay",1.04032258,0.56141455,1.01038914,44.91744708,1.08933154,1.03364102,1.01757542,1.12204983,1.04032258
"MDeepShaRay",0.97096774,0.58145235,0.99595501,280.28993354,0.99877481,0.9272736,0.99972322,0.94325071,0.97096774
"MDemInvFeed",1.31774194,0.7712363,1.07256694,-193.26705523,1.2173135,0.99306992,1.08898422,1.40118946,1.31774194
"MDemPred",0.9016129,0.27163854,0.98192748,-135.28109478,1.03839622,1.0915896,0.98187102,1.01957266,0.9016129
"MesoPela",1.04032258,0.58549571,1.01038914,-215.55178175,1.04449229,0.94254046,1.01757542,1.03157893,1.04032258
"MullOHerb",0.69354839,0.24613498,0.91732699,52.60985623,0.85899378,0.95655593,0.91641295,0.69770531,0.69354839
"ProdPrim",0.9016129,0.73102928,0.9682896,229.51608651,0.97679099,0.9743448,0.97592029,0.90218431,0.9016129
"RoyThre",0.62419355,0.19530726,0.91732699,-186.18794375,0.79585151,0.92852498,0.90451149,0.59890242,0.62419355
"Sard",1.59516129,2.17056633,1.1428992,67.44559319,1.23751006,0.8272175,1.16039303,1.44806967,1.59516129
"SBathyPelaPred",0.69354839,0.15672112,0.92955801,77.50903663,0.85467885,0.96181173,0.92236369,0.69071342,0.69354839
"ScadMack",1.17903226,0.71464955,1.02524781,-8.10000555,1.11919025,0.92440279,1.04732909,1.18440387,1.17903226
"SDemInvFeed",1.66451613,1.90524245,1.16194752,170.98310896,1.2980659,0.88691655,1.17824523,1.59325565,1.66451613
"SDemPred",1.04032258,0.58241607,1.01038914,45.02758159,1.04829923,0.95305206,1.01757542,1.03911237,1.04032258
"SMBathyInvFeed",0.69354839,0.24901915,0.94211961,197.68639974,0.87545654,1.01962555,0.92831442,0.72470485,0.69354839
"SpaFish",0.48548387,0.10624022,0.90541365,39.50547286,0.75522182,1.12624324,0.87475782,0.53931319,0.48548387
"SPelaInvFeed",1.87258065,2.62067507,1.22310265,174.16931238,1.37549142,0.87402037,1.23180183,1.78898935,1.87258065
"SPelaPred",0.9016129,0.42994566,0.98192748,-157.76785432,1.00630586,1.01477404,0.98187102,0.95752911,0.9016129
"STuna",1.04032258,0.40988188,1.01038914,197.73967501,1.10933234,1.08269517,1.01757542,1.16363113,1.04032258
"ToothWhaleDolph",0.97096774,0.52088788,0.9682896,-92.86095253,1.03065287,0.97232333,0.98782175,1.0044234,0.97096774
"Turtle",0.20806452,0,0.7833354,10.60358273,0.4825933,1.05116036,0.75574315,0.22021889,0.20806452
