ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
AnMacrophyt,0.88,0.22189153,0.95505901,-0.2972973,1.03371194,1.155,0.96367521,1.0411082,0.88
BeDepF,1.1,0.65694444,0.95505901,1.33783784,1.08826756,0.96417391,1.01068376,1.15389999,1.1
BentF,1.32,1.52850529,1.15971451,3.41891892,1.18724012,1.00434783,1.12820513,1.37332693,1.32
BeSuspF,0.88,1.58452381,1.0147502,8.32432432,0.9219951,1.00434783,0.98717949,0.82823586,0.88
Bird,1.54,2.95443122,1.24892332,2.97297297,1.23327238,0.88956522,1.19871795,1.48188608,1.54
MacroZP,1.1,1.35535714,1.0147502,-2.82432432,1.01640947,0.924,1.03418803,1.00654735,1.1
MesoZP,0.88,0.46851852,0.90200017,1.18918919,0.85008248,0.85369565,0.94017094,0.70407503,0.88
PerMacrophyt,0.44,0,0.77314301,1.33783784,0.74149019,1.20521739,0.77564103,0.53568271,0.44
Phyto,0.66,0.10185185,0.81180016,3.71621622,0.72772879,0.87043478,0.84615385,0.51598362,0.66
PisF,1.1,0.71878307,1.08240021,-3.12162162,1.13071639,1.12486957,1.05769231,1.24567337,1.1
PlaF,1.1,1.40919312,1.08240021,-5.05405405,1.06908559,1.00434783,1.05769231,1.11358086,1.1
