ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
BenthInFau,1.05633803,0.66122449,1.01417038,-41.78571429,1.0528208,1.02493805,1.02466793,1.0731403,1.05633803
DemHerb,0.84507042,2.04285714,0.91275334,15,0.89934017,0.93952655,0.93927894,0.78306097,0.84507042
DemMPred,1.26760563,1.21037415,1.14094168,-7.5,1.1406111,0.99240034,1.11005693,1.25957137,1.26760563
DemSOmn,1.16197183,3.48078231,1.07382746,34.28571429,1.08560775,0.97613148,1.06736243,1.14102054,1.16197183
DemSPred,1.05633803,0.22363946,1.01417038,-21.42857143,1.07766466,1.06398331,1.02466793,1.12438456,1.05633803
MacroEpiFau,1.05633803,0.42006803,1.01417038,-22.5,1.06853883,1.054222,1.02466793,1.10542228,1.05633803
Macroph,0.21126761,0.06122449,0.67611359,111.42857143,0.43998334,0.9273249,0.66888046,0.18742178,0.21126761
PelaMPred,0.95070423,0.29455782,0.96079299,17.14285714,1.01462714,1.05205282,0.98197343,0.996691,0.95070423
Pelapl,0.73943662,0.4547619,0.82977577,12.85714286,0.87423959,1.00402095,0.88235294,0.73996049,0.73943662
PelaSPred,1.37323944,1.91751701,1.21700446,-17.14285714,1.16534813,0.95360537,1.15275142,1.31479777,1.37323944
Phyto,0.63380282,0.29693878,0.82977577,-19.28571429,0.80165113,1.00866919,0.85388994,0.62218339,0.63380282
PonyFish,1.26760563,1.34914966,1.14094168,-23.57142857,1.13586783,0.98426591,1.11005693,1.24911721,1.26760563
Sha,0.95070423,0.38622449,0.96079299,19.28571429,1.00910618,1.030361,0.98197343,0.98587381,0.95070423
Squid,1.16197183,0.6420068,1.07382746,-15,1.10869367,1.02050109,1.06736243,1.19006512,1.16197183
Zoopl,1.26760563,1.55867347,1.14094168,-26.78571429,1.12589968,0.96799705,1.11005693,1.22728939,1.26760563
