ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"AttWat",0.6746988,0.07942943,0.88928911,-9.73913043,0.8723449,1.07659445,0.89557013,0.69134193,0.6746988
"BenthFeed",2.53012048,5.89153699,1.38815861,-10.04347826,1.64681775,0.89607457,1.3881337,2.46381176,2.53012048
"BenthMicroAl",1.18072289,0.90648376,0.90340481,-24.95652174,0.94542396,0.65248148,0.99856069,0.81202547,1.18072289
"Bird",0.84337349,0.48588589,0.96465259,16.43478261,0.93995603,0.93957333,0.97393251,0.80265982,0.84337349
"CalliaKra",1.01204819,0.72038175,0.99850005,7.91304348,0.94987917,0.80472716,1.01311371,0.81969668,1.01204819
"CarnMac",1.51807229,0.45618346,1.09450967,17.65217391,1.37447178,1.0149712,1.1362546,1.71627984,1.51807229
"CatFish",0.84337349,0.16760169,1.05397228,-11.41304348,1.08921611,1.25276445,1.02430833,1.07781584,0.84337349
"Copyp",1.18072289,1.09031532,1.05397228,-0.30434783,1.07994099,0.95075873,1.06908684,1.0595379,1.18072289
"Det",0.84337349,0.3249818,0.99850005,16.73913043,1.01474394,1.14836741,0.99072445,0.93546895,0.84337349
"DuskyKob",1.68674699,1.81867322,1.21094687,-12.93478261,1.43378281,1.03092074,1.21461698,1.86759706,1.68674699
"Epiph",0.1686747,0,0.6940793,3.65217391,0.39304716,0.91347408,0.66831921,0.14034785,0.1686747
"FishLarv",0.6746988,0.07570298,0.94857505,-10.65217391,0.90402529,1.17446667,0.93475132,0.74246778,0.6746988
"FreeWat",0.1686747,0,0.59285941,23.2826087,0.24833198,0.52198519,0.57764273,0.05602499,0.1686747
"Graz",0.3373494,0.10592411,0.93302464,-34.39130435,0.68923708,1.43545926,0.87877819,0.43157245,0.3373494
"Grunter",0.5060241,0.1250819,0.88928911,15.97826087,0.69597996,0.86997531,0.86758356,0.440058,0.5060241
"Herb",1.18072289,1.96165711,1.01633041,3.04347826,1.08287659,0.85754709,1.04669759,1.06530601,1.18072289
"Leer",1.01204819,0.83535126,1.11597065,22.06521739,1.15255273,1.17446667,1.08028146,1.20680765,1.01204819
"MeioFau",0.84337349,0.22294112,0.99850005,3.34782609,1.03334074,1.20056593,0.99072445,0.97007105,0.84337349
"MicroZoopl",0.6746988,1.63963964,0.81306433,22.67391304,0.68417462,0.71772963,0.83399968,0.42525591,0.6746988
"Mysid",1.34939759,1.99230594,1.13829006,-3.19565217,1.18101422,0.96241019,1.13065728,1.26714612,1.34939759
"Phyto",1.01204819,0.75205205,0.93302464,2.2826087,0.96453298,0.89172469,0.97393251,0.84518272,1.01204819
"Pisci",1.51807229,1.94118437,1.2372718,-5.7826087,1.4011108,1.15996708,1.19782504,1.78345192,1.51807229
"SedBaci",1.34939759,0.82480207,1.09450967,17.04347826,1.19892473,0.92978611,1.11386534,1.30587101,1.34939759
"SkipJack",0.1686747,0,0.77965073,8.36956522,0.48276988,1.30496297,0.73324804,0.21173701,0.1686747
"Sol",0.5060241,0.06337701,0.87560774,-20.23913043,0.76023618,1.08746914,0.86982249,0.52506553,0.5060241
"SuspFeed",1.18072289,0.51601147,1.03480915,-1.97826087,1.24866513,1.17446667,1.05789221,1.41647336,1.18072289
"UpoAfri",1.34939759,1.68631586,1.13829006,-14.60869565,1.20253257,0.92978611,1.13065728,1.31374218,1.34939759
"ZooplEater",1.68674699,3.31617982,1.21094687,7.76086957,1.33006991,0.92652371,1.20901967,1.60718319,1.68674699
