ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"Aatooth",0.9540636,0.24815299,1.01106376,4.56441125,1.10828751,1.1653764,1.00957592,1.0942698,0.9540636
"Aherr",1.27208481,2.39975529,1.07846802,16.87907501,1.137737,0.90946605,1.08960328,1.15319645,1.27208481
"Asal",0.9540636,0.98668393,0.92971381,-1.1101008,1.01146187,0.95014923,0.96648427,0.91142003,0.9540636
"AviPred",0.3975265,0.05893233,0.86973227,-0.65506143,0.64992923,1.00789311,0.84336525,0.37631513,0.3975265
"BelWhale",0.3975265,0.0136697,0.86973227,-9.53408725,0.72244369,1.23466906,0.84336525,0.46497279,0.3975265
"Bird",1.1130742,1.13011866,1.05045586,1.42088679,1.14899986,1.09338404,1.05266758,1.17614127,1.1130742
"Cape",1.51060071,0.86906833,1.15550145,-0.57385499,1.35617874,1.08746361,1.15731874,1.63852623,1.51060071
"DeepDem",1.66961131,3.83753872,1.17224784,-5.25289496,1.3101675,0.92990138,1.1880985,1.5292313,1.66961131
"DeepEpiBent",1.43109541,3.50561678,1.09304191,0.29127688,1.21071259,0.91690276,1.12038304,1.30587514,1.43109541
"DeepLgInFau",0.3180212,0.11942537,0.85142212,8.19738849,0.55652347,0.99214478,0.82181943,0.27592211,0.3180212
"DeepSmInFau",0.5565371,0.0300118,0.92971381,-4.26681382,0.86048396,1.24186829,0.90492476,0.65963712,0.5565371
"Eula",1.51060071,1.40287509,1.15550145,3.56101847,1.31670426,1.0244703,1.15731874,1.54452882,1.51060071
"Hal",1.27208481,0.63619502,1.09304191,-10.91723777,1.25670825,1.13387974,1.09575923,1.40698175,1.27208481
"HerbZoopl",1.59010601,2.62182625,1.15550145,6.2928625,1.30854292,0.97009712,1.16963064,1.52544123,1.59010601
"InveatBird",0.1590106,0.00852347,0.71579736,-6.71375298,0.34286718,0.78741649,0.68946648,0.10473006,0.1590106
"Jatooth",1.19257951,0.33679752,1.07846802,-6.71991908,1.25578445,1.19687306,1.07729138,1.40491398,1.19257951
"Jelly",0.7155477,0.50154865,0.92971381,1.50020698,0.84865909,0.93090127,0.92954856,0.64163208,0.7155477
"Jherr",1.74911661,1.50988599,1.17224784,-8.14760398,1.41729078,1.0164831,1.2004104,1.78952372,1.74911661
"LingCod",1.0335689,0.30014181,1.02386204,6.99798959,1.14256948,1.15810794,1.02804378,1.16301355,1.0335689
