ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"CarnBent",1.48648649,2.42277778,1.16567323,29.76470588,1.19438984,0.88203553,1.15789474,1.3954949,1.48648649
"CatFish",0.3963964,0.01666667,0.82824151,26.52941176,0.71782824,1.30619912,0.80409357,0.50405407,0.3963964
"Croak",0.79279279,0.2143254,0.92568168,3.23529412,0.9423031,1.06392025,0.93274854,0.86859494,0.79279279
"CutFish",0.89189189,0.38865079,0.95373264,22,0.98967815,1.0580681,0.96491228,0.95812907,0.89189189
"DetBenth",1.68468468,3.55434524,1.25892709,7.11764706,1.24193259,0.83279488,1.22222222,1.50880147,1.68468468
"FlatFish",1.09009009,0.72621032,1.01526378,-16.82352941,1.0677355,0.97294597,1.02923977,1.11522736,1.09009009
"Jsard",0.69369369,0.25448413,0.89923363,-7.76470588,0.84485786,0.97513482,0.9005848,0.6982378,0.69369369
"KWeakFish",1.09009009,0.99378968,1.01526378,14.23529412,1.05482417,0.96528498,1.02923977,1.08841921,1.09009009
"LPelaFish",1.28828829,1.56132937,1.08528197,11,1.12274228,0.91401526,1.09356725,1.23309406,1.28828829
"Mack",0.69369369,0.19593254,0.89923363,-19.41176471,0.89161903,1.13163794,0.9005848,0.77766886,0.69369369
"Mull",0.4954955,0.08904762,0.85062641,11,0.77011782,1.19664693,0.83625731,0.5801635,0.4954955
"Octo",0.4954955,0,0.85062641,-27.17647059,0.78675447,1.21350111,0.83625731,0.60550048,0.4954955
"OPiscFish",1.18918919,1.24944444,1.04910591,-32.35294118,1.10649436,0.97613805,1.06140351,1.19766254,1.18918919
"Osciae",1.09009009,0.82914683,1.01526378,-16.82352941,1.05642635,0.95762398,1.02923977,1.09172813,1.09009009
"Phyto",0.89189189,0.83787698,0.95373264,-22,0.9029273,0.84270911,0.96491228,0.79752007,0.89189189
"Sard",0.79279279,0.29734127,0.92568168,-5.82352941,0.92414693,1.03231866,0.93274854,0.83544546,0.79279279
"ShaRay",1.68468468,3.48865079,1.25892709,1.94117647,1.25005923,0.83775199,1.22222222,1.5286119,1.68468468
"Shri",1.09009009,0.76208333,1.01526378,7.76470588,1.07092899,1.00358994,1.02923977,1.12190842,1.09009009
"Squid",1.38738739,1.61253968,1.12404204,11.64705882,1.16227421,0.89688326,1.12573099,1.32145768,1.38738739
"TrigFish",0.69369369,0.19607143,0.89923363,26.52941176,0.88310296,1.07144444,0.9005848,0.7628844,0.69369369
"WeakFishCyno",0.79279279,0.36718254,0.92568168,-7.11764706,0.91930072,1.00071706,0.93274854,0.82670632,0.79279279
"Zoopl",1.28828829,1.94210317,1.08528197,4.52941176,1.09955591,0.86863862,1.09356725,1.18268936,1.28828829
