ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"Acod",0.91503268,0.6010525,0.95862503,5.89702258,0.98481859,1.03458809,0.97114317,0.9473418,0.91503268
"Ahadd",0.91503268,0.79331163,0.95862503,7.44472064,0.96089612,0.97728783,0.97114317,0.90187657,0.91503268
"Awhit",0.97222222,0.73032667,0.9774216,0.44185005,1.00404279,1.00668699,0.99056604,0.98468804,0.97222222
"Bird",0.91503268,0.32741648,0.95862503,1.46267537,1.00955418,1.08233831,0.97114317,0.99552803,0.91503268
"BlueWhit",0.34313725,0.02537486,0.80400809,2.33633212,0.63575203,1.17996099,0.77691454,0.39479326,0.34313725
"Cepha",1.31535948,1.48266238,1.10774448,5.8120352,1.15751496,0.9788103,1.10710322,1.30872214,1.31535948
"Cet",0.4003268,0.02665277,0.81718855,-8.05164844,0.66974882,1.10598604,0.7963374,0.43814528,0.4003268
"Crus",1.77287582,3.64073936,1.3472568,9.27103012,1.30253607,0.90858913,1.26248613,1.65719548,1.77287582
"EpiFau",1.31535948,1.75193914,1.10774448,0.3881978,1.1289775,0.91680422,1.10710322,1.24498695,1.31535948
"FlatFish",1.37254902,1.44935447,1.13292049,-0.04787692,1.18432386,0.97622671,1.12652608,1.37004612,1.37254902
"GeySeal",0.62908497,0.22702106,0.87453512,1.76188444,0.80549684,0.99551973,0.87402886,0.63375574,0.62908497
"Gurna",1.02941176,0.63396732,0.99697003,0.31208844,1.044394,1.02998992,1.0099889,1.06542518,1.02941176
"HarSeal",0.57189542,0.20595483,0.85945692,-5.15866607,0.75817584,0.96773779,0.85460599,0.56147976,0.57189542
"Herr",1.14379085,1.55494004,1.03851045,-0.12271757,1.05177123,0.9193509,1.04883463,1.08052993,1.14379085
"HorMack",0.85784314,0.39806155,0.94053777,-0.6034312,0.96659036,1.05262707,0.95172031,0.91259723,0.85784314
"InFau",1.08660131,1.05454246,1.01731636,6.41814862,1.04461434,0.96237636,1.02941176,1.06587479,1.08660131
"Jcod",0.97222222,0.79326537,0.9774216,1.75727115,0.99427531,0.97672606,0.99056604,0.96562285,0.97222222
"Jhadd",0.74346405,0.38106981,0.90633639,7.55513738,0.8717032,0.99124559,0.91287458,0.74221804,0.74346405
"Jwhit",0.85784314,0.4002784,0.94053777,-0.51824982,0.9441596,1.00508907,0.95172031,0.8707331,0.85784314
"Ldem",0.85784314,1.06559322,0.94053777,5.11096409,0.92525464,0.97113336,0.95172031,0.83621272,0.85784314
"Lzoopl",1.4869281,2.92800817,1.18686908,3.56343679,1.19239813,0.90896829,1.16537181,1.38879068,1.4869281
"Mack",1.20098039,1.22908555,1.06060642,0.15273433,1.10665654,0.98229023,1.06825749,1.19624445,1.20098039
"MonkFish",0.85784314,0.38626706,0.94053777,-5.02053543,0.97881491,1.08318721,0.95172031,0.93582658,0.85784314
"Neph",0.68627451,0.16801667,0.89015181,-2.91835038,0.87914409,1.09082724,0.89345172,0.75494333,0.68627451
"NorPout",1.20098039,1.19705372,1.06060642,-6.47571102,1.10707974,0.97016319,1.06825749,1.19715954,1.20098039
"Opela",1.4869281,2.54682476,1.18686908,4.30523311,1.2044411,0.92855812,1.16537181,1.41698534,1.4869281
"OSFish",0.97222222,0.72264399,0.9774216,-4.38049286,1.01194524,1.00968308,0.99056604,1.00024928,0.97222222
"Phyto",0.51470588,0.10991402,0.84488986,0.44600591,0.73095521,1.02433064,0.83518313,0.52188613,0.51470588
"Poll",1.02941176,0.58227963,0.99697003,4.44727231,1.04744921,1.02716028,1.0099889,1.07166777,1.02941176
"PoorCod",1.42973856,1.94522145,1.15926748,6.1252223,1.1942826,0.95143904,1.14594895,1.39318386,1.42973856
"Ray",0.68627451,0.22456268,0.89015181,-11.76401599,0.87415866,1.08233831,0.89345172,0.74640536,0.68627451
"Sande",1.4869281,3.05783984,1.18686908,5.09023668,1.18784292,0.90309134,1.16537181,1.37820001,1.4869281
"Sha",1.14379085,0.87375053,1.03851045,-2.97972619,1.09628181,1.00848464,1.04883463,1.17392038,1.14379085
"Sprat",0.85784314,0.56324759,0.94053777,2.90180118,0.94741276,1.0016935,0.95172031,0.87674376,0.85784314
"Szoopl",0.97222222,0.92176002,0.9774216,0.0401213,0.99653681,0.98871043,0.99056604,0.97002052,0.97222222
