ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"Bird",0.94736842,0.71264152,0.97941918,13.47235261,1.00386465,1.03198771,0.98603652,0.9690324,0.94736842
"Cepha",1.30263158,1.99214967,1.10184658,-0.37776516,1.13328841,0.9369601,1.10204082,1.23500544,1.30263158
"Cet",0.29605263,0.0119403,0.80134297,32.8030018,0.57453997,1.11854152,0.76691729,0.31741575,0.29605263
"Cod",1.30263158,1.11484226,1.10184658,-24.43584119,1.1938628,1.04106678,1.10204082,1.37055609,1.30263158
"CrabLobs",0.88815789,1.13690341,0.96161156,4.37748505,0.91197144,0.93744432,0.96670247,0.799743,0.88815789
"Echino",1.00657895,0.86175824,0.99789879,-23.6730557,0.98229726,0.91801867,1.00537057,0.9278416,1.00657895
"EpiFau",0.47368421,0.24795214,0.83950216,-4.04200158,0.64797461,0.91880196,0.82491944,0.40374201,0.47368421
"Eupha",1.00657895,1.00306709,0.99789879,-6.73024552,0.99972875,0.94621719,1.00537057,0.96106405,1.00657895
"Gurna",1.06578947,0.40553622,1.01708915,-8.46284901,1.11083497,1.11854152,1.02470462,1.18655278,1.06578947
"Hadd",1.18421053,0.55041624,1.05777272,-2.84195947,1.16443233,1.09457277,1.06337272,1.30381653,1.18421053
"HalTurBrill",1.00657895,0.4674894,0.99789879,10.7916739,1.06524399,1.09347616,1.00537057,1.09115427,1.00657895
"Herr",1.18421053,1.05843694,1.05777272,-4.88204117,1.13247277,1.03331931,1.06337272,1.23322839,1.18421053
"InFau",0.23684211,0.07522388,0.71471129,3.40956855,0.40067281,0.73237837,0.70247046,0.15437171,0.23684211
"InshFish",0.59210526,0.52023681,0.88147726,9.15807677,0.75116103,0.98005542,0.87003222,0.54256786,0.59210526
"Lzoopl",1.06578947,1.28052355,1.01708915,-8.32683824,1.02122819,0.93803614,1.02470462,1.00284442,1.06578947
"Mack",1.06578947,0.50989531,0.99789879,-16.63395418,1.08623281,1.05935943,1.01825994,1.13457655,1.06578947
"Neph",0.76973684,0.44411151,0.9278708,-35.30011908,0.89175861,1.03249986,0.92803437,0.76468504,0.76973684
"NorPout",1.125,0.67361184,1.01708915,-9.01234847,1.11648668,1.05686755,1.03759398,1.19865738,1.125
"OBenthInv",1.30263158,3.06112825,1.10184658,9.55791877,1.10941461,0.91517033,1.10204082,1.18352037,1.30263158
"Odem",1.65789474,3.78073959,1.25925323,3.12689812,1.27293105,0.93402021,1.21804511,1.55810863,1.65789474
"Opela",1.48026316,2.14028647,1.17530302,4.65267316,1.22515195,0.96301098,1.16004296,1.44333748,1.48026316
"Phyto",0.47368421,0.8889094,0.85304251,-4.61640243,0.62655226,0.84556412,0.83136412,0.3774875,0.47368421
"Plai",0.71052632,0.2115054,0.91187303,10.08670574,0.89788551,1.12298017,0.90870032,0.7752288,0.71052632
"Polych",1.18421053,1.54137013,1.05777272,-5.90683449,1.08092194,0.95608668,1.06337272,1.12350922,1.18421053
"PrawnShri",1.65789474,3.37611026,1.25925323,22.07085208,1.27771797,0.93592249,1.21804511,1.56984936,1.65789474
"RaySkate",1.00657895,0.61810342,0.99789879,1.85267428,1.03700736,1.03081277,1.00537057,1.03407408,1.00657895
"Saithe",1.00657895,0.52543688,0.97941918,20.84318545,1.05127315,1.03394594,0.99892589,1.06272066,1.00657895
"Sal",0.65131579,0.06740424,0.86702682,-18.70644495,0.86517592,1.09433066,0.87647691,0.7197751,0.65131579
"Sande",1.30263158,1.56999755,1.07935991,33.55913082,1.16920654,0.99990832,1.09559613,1.31452982,1.30263158
"Seal",1.125,1.23919381,1.03703207,3.97115741,1.07073078,0.95314315,1.04403867,1.10242371,1.125
"Sha",1.36184211,1.48194763,1.12529012,11.33359817,1.19846358,1.00043465,1.12137487,1.38113986,1.36184211
"Sole",0.65131579,0.25186086,0.89641756,14.31994879,0.85438459,1.12338369,0.88936627,0.70193158,0.65131579
"Sprat",1.125,0.59183392,1.01708915,-19.71945279,1.11485131,1.04845746,1.03759398,1.19514851,1.125
"Szoopl",0.71052632,0.61016767,0.91187303,14.85864754,0.82275397,0.9454339,0.90870032,0.6509205,0.71052632
"Trach",0.88815789,0.35099307,0.94443992,-0.73209486,0.98753189,1.05462486,0.96025779,0.93775683,0.88815789
"Whit",1.18421053,0.62627512,1.05777272,6.15469928,1.14999353,1.05462486,1.06337272,1.27168272,1.18421053
